Datetime;demand_MW;scaled_demand_MW_wind;scaled_demand_MW_solar;Price_EUR_MWh;Solar_Power;Wind_Power
2019-01-01 00:00:00;13240;8275;6968.4210526316;66.88;0;0
2019-01-01 01:00:00;12876;8047.5;6776.8421052632;66;0;0
2019-01-01 02:00:00;12591;7869.375;6626.8421052632;63.64;0;0
2019-01-01 03:00:00;12487;7804.375;6572.1052631579;58.85;0;0
2019-01-01 04:00:00;12369;7730.625;6510;55.47;0;0
2019-01-01 05:00:00;12490;7806.25;6573.6842105263;56;0;0
2019-01-01 06:00:00;12646;7903.75;6655.7894736842;61.09;0;0
2019-01-01 07:00:00;12936;8085;6808.4210526316;61.01;0;0
2019-01-01 08:00:00;13310;8318.75;7005.2631578947;61;620.6893133333;3685.4589113893
2019-01-01 09:00:00;13594;8496.25;7154.7368421053;63;1277.535122;4318.0150610626
2019-01-01 10:00:00;13644;8527.5;7181.052631579;63;2097.9872053333;4738.1108418426
2019-01-01 11:00:00;13346;8341.25;7024.2105263158;64.03;2618.9529013333;4763.947017082
2019-01-01 12:00:00;13054;8158.75;6870.5263157895;65.88;2433.1411286667;4459.8430802759
2019-01-01 13:00:00;12922;8076.25;6801.052631579;65.01;1593.535328;3674.8170645908
2019-01-01 14:00:00;12748;7967.5;6709.4736842105;60.84;748.013842;2672.6434914485
2019-01-01 15:00:00;12488;7805;6572.6315789474;61.09;49.844948;1729.2725510617
2019-01-01 16:00:00;12343;7714.375;6496.3157894737;63.08;0;1825.2420480673
2019-01-01 17:00:00;12712;7945;6690.5263157895;66.66;0;2117.4213607997
2019-01-01 18:00:00;13611;8506.875;7163.6842105263;67.06;0;2204.1297569522
2019-01-01 19:00:00;13997;8748.125;7366.8421052632;67.26;0;2366.6689653461
2019-01-01 20:00:00;13962;8726.25;7348.4210526316;68.07;0;2299.6400258163
2019-01-01 21:00:00;13770;8606.25;7247.3684210526;67.08;0;1597.0760767355
2019-01-01 22:00:00;13508;8442.5;7109.4736842105;64.03;0;1064.7265690532
2019-01-01 23:00:00;13102;8188.75;6895.7894736842;61.74;0;687.6053577524
2019-01-02 00:00:00;12618;7886.25;6641.052631579;53;0;407.5864062062
2019-01-02 01:00:00;12140;7587.5;6389.4736842105;48.23;0;250.0925843267
2019-01-02 02:00:00;11861;7413.125;6242.6315789474;47.23;0;150.1737253044
2019-01-02 03:00:00;11844;7402.5;6233.6842105263;45.24;0;87.4860224721
2019-01-02 04:00:00;11797;7373.125;6208.9473684211;45.7;0;39.9987711225
2019-01-02 05:00:00;11903;7439.375;6264.7368421053;51.1;0;29.7181837954
2019-01-02 06:00:00;12259;7661.875;6452.1052631579;58.37;0;36.1351316922
2019-01-02 07:00:00;12752;7970;6711.5789473684;63.75;525.2748006667;36.7290667552
2019-01-02 08:00:00;13338;8336.25;7020;66.1;3594.869966;37.2403407527
2019-01-02 09:00:00;13571;8481.875;7142.6315789474;65.88;7362.1065273333;272.4723024213
2019-01-02 10:00:00;13972;8732.5;7353.6842105263;63.63;8412.6079553333;1027.9148412325
2019-01-02 11:00:00;14296;8935;7524.2105263158;62.8;8429.9768506667;1721.1687051251
2019-01-02 12:00:00;14319;8949.375;7536.3157894737;63.16;8149.5502426667;2211.1100247026
2019-01-02 13:00:00;14197;8873.125;7472.1052631579;61.5;7311.1391406667;2411.2783870091
2019-01-02 14:00:00;14010;8756.25;7373.6842105263;60.69;5210.9480053333;2382.138830672
2019-01-02 15:00:00;13888;8680;7309.4736842105;62.19;1279.43556;2628.7229119978
2019-01-02 16:00:00;13821;8638.125;7274.2105263158;67.1;0;3685.4007424914
2019-01-02 17:00:00;14038;8773.75;7388.4210526316;69.3;0;3837.4940414272
2019-01-02 18:00:00;14761;9225.625;7768.9473684211;69.25;0;3806.7257559483
2019-01-02 19:00:00;14995;9371.875;7892.1052631579;68.07;0;3753.8961505529
2019-01-02 20:00:00;14832;9270;7806.3157894737;68.01;0;3358.6507352686
2019-01-02 21:00:00;14621;9138.125;7695.2631578947;66.66;0;3075.0834809493
2019-01-02 22:00:00;14153;8845.625;7448.9473684211;64.28;0;2322.4728490105
2019-01-02 23:00:00;13500;8437.5;7105.2631578947;62.01;0;2086.3928460407
2019-01-03 00:00:00;12841;8025.625;6758.4210526316;54.85;0;1444.7439791662
2019-01-03 01:00:00;12470;7793.75;6563.1578947369;52.19;0;1286.7327602472
2019-01-03 02:00:00;12150;7593.75;6394.7368421053;50.21;0;1138.3347170899
2019-01-03 03:00:00;12172;7607.5;6406.3157894737;50.2;0;950.5930682918
2019-01-03 04:00:00;12343;7714.375;6496.3157894737;52.19;0;641.9274652803
2019-01-03 05:00:00;12648;7905;6656.8421052632;54.91;0;334.5048397718
2019-01-03 06:00:00;13270;8293.75;6984.2105263158;66.58;0;243.8930044168
