Datetime;demand_MW;Price_EUR_MWh;pv_power_1;pv_power_2;pv_power_3
2019-01-01 00:00:00;6968.4210526316;66.88;0;0;0
2019-01-01 01:00:00;6776.8421052632;66;0;0;0
2019-01-01 02:00:00;6626.8421052632;63.64;0;0;0
2019-01-01 03:00:00;6572.1052631579;58.85;0;0;0
2019-01-01 04:00:00;6510;55.47;0;0;0
2019-01-01 05:00:00;6573.6842105263;56;0;0;0
2019-01-01 06:00:00;6655.7894736842;61.09;0;0;0
2019-01-01 07:00:00;6808.4210526316;61.01;0;0;0
2019-01-01 08:00:00;7005.2631578947;61;197.8980576412;307.2007571003;115.5904985918
2019-01-01 09:00:00;7154.7368421053;63;120.7602667409;382.9603549262;773.8145003329
2019-01-01 10:00:00;7181.052631579;63;113.3544786582;1740.7614318465;243.8712948286
2019-01-01 11:00:00;7024.2105263158;64.03;549.9971430837;121.0445356436;1947.911222606
2019-01-01 12:00:00;6870.5263157895;65.88;963.9200952245;741.3197439503;727.9012894919
2019-01-01 13:00:00;6801.052631579;65.01;823.6704355429;731.0467449234;38.8181475338
2019-01-01 14:00:00;6709.4736842105;60.84;93.185108791;37.6197123485;617.2090208605
2019-01-01 15:00:00;6572.6315789474;61.09;20.7101799523;8.3825693448;20.7521987028
2019-01-01 16:00:00;6496.3157894737;63.08;0;0;0
2019-01-01 17:00:00;6690.5263157895;66.66;0;0;0
2019-01-01 18:00:00;7163.6842105263;67.06;0;0;0
2019-01-01 19:00:00;7366.8421052632;67.26;0;0;0
2019-01-01 20:00:00;7348.4210526316;68.07;0;0;0
2019-01-01 21:00:00;7247.3684210526;67.08;0;0;0
2019-01-01 22:00:00;7109.4736842105;64.03;0;0;0
2019-01-01 23:00:00;6895.7894736842;61.74;0;0;0
2019-01-02 00:00:00;6641.052631579;53;0;0;0
2019-01-02 01:00:00;6389.4736842105;48.23;0;0;0
2019-01-02 02:00:00;6242.6315789474;47.23;0;0;0
2019-01-02 03:00:00;6233.6842105263;45.24;0;0;0
2019-01-02 04:00:00;6208.9473684211;45.7;0;0;0
2019-01-02 05:00:00;6264.7368421053;51.1;0;0;0
2019-01-02 06:00:00;6452.1052631579;58.37;0;0;0
2019-01-02 07:00:00;6711.5789473684;63.75;51.4213899038;274.9671557685;198.8862549943
2019-01-02 08:00:00;7020;66.1;49.9031804493;3262.7949784122;282.1718071385
2019-01-02 09:00:00;7142.6315789474;65.88;1417.1907464223;2694.4362598828;3250.4795210282
2019-01-02 10:00:00;7353.6842105263;63.63;234.5060415434;7700.1957192046;477.9061945853
2019-01-02 11:00:00;7524.2105263158;62.8;6971.0028065557;1392.5677238322;66.4063202789
2019-01-02 12:00:00;7536.3157894737;63.16;1262.0179476637;1069.3769424431;5818.15535256
2019-01-02 13:00:00;7472.1052631579;61.5;122.6212092021;4646.7522753267;2541.7656561378
2019-01-02 14:00:00;7373.6842105263;60.69;1544.3965456005;3463.2946108149;203.256848918
2019-01-02 15:00:00;7309.4736842105;62.19;669.6575400764;252.8786451073;356.8993748163
