Datetime;demand;price;solar_power;wind_power;renewable;demand_level;price_level;hour;date;tipo_de_dia;demand
2019-11-05 00:00:00;6.8544;14;0;5.1550318254;5.1550318254;baja;aceptable;0;2019-11-05;baja;0.00411264
2019-11-05 01:00:00;6.5616;9.99;0;3.4028805283;3.4028805283;baja;aceptable;1;2019-11-05;baja;0.00393696
2019-11-05 02:00:00;6.2676;9.1;0;3.3939623178;3.3939623178;baja;aceptable;2;2019-11-05;baja;0.00376056
2019-11-05 02:00:00;6.3576;9.1;0;3.3939623178;3.3939623178;baja;aceptable;2;2019-11-05;baja;0.00381456
2019-11-05 03:00:00;6.1746;8.45;0;5.7690780195;5.7690780195;baja;aceptable;3;2019-11-05;baja;0.00370476
2019-11-05 04:00:00;6.162;13.62;0;5.7386709934;5.7386709934;baja;aceptable;4;2019-11-05;baja;0.0036972
2019-11-05 05:00:00;6.213;19.99;0;7.6648085257;7.6648085257;baja;aceptable;5;2019-11-05;baja;0.0037278
2019-11-05 06:00:00;6.3186;30;0.024763502;10.9809439196;11.0057074216;baja;aceptable;6;2019-11-05;baja;0.00379116
2019-11-05 07:00:00;6.582;35;1.348776256;11.5266692123;12.8754454683;baja;aceptable;7;2019-11-05;baja;0.0039492
2019-11-05 08:00:00;6.8544;35.01;4.2681910547;13.6485879474;17.9167790021;baja;aceptable;8;2019-11-05;baja;0.00411264
2019-11-05 09:00:00;7.2174;33.42;5.5465282627;14.3630152901;19.9095435528;baja;aceptable;9;2019-11-05;baja;0.00433044
2019-11-05 10:00:00;7.4328;32.69;5.0580241673;14.533737944;19.5917621113;baja;aceptable;10;2019-11-05;baja;0.00445968
2019-11-05 11:00:00;7.4454;31.25;5.741360492;14.5870329006;20.3283933926;baja;aceptable;11;2019-11-05;baja;0.00446724
2019-11-05 12:00:00;7.5054;30.01;4.4376841107;14.4955393472;18.9332234579;baja;aceptable;12;2019-11-05;baja;0.00450324
2019-11-05 13:00:00;7.5684;28;4.142181658;14.3711803665;18.5133620245;baja;aceptable;13;2019-11-05;baja;0.00454104
2019-11-05 14:00:00;7.5156;28.05;2.7803721067;14.1063373743;16.8867094809;baja;aceptable;14;2019-11-05;baja;0.00450936
2019-11-05 15:00:00;7.515;30.5;1.1569933987;13.3544768149;14.5114702136;baja;aceptable;15;2019-11-05;baja;0.004509
2019-11-05 16:00:00;7.4436;36.99;0.1826347413;12.1874587081;12.3700934495;baja;aceptable;16;2019-11-05;baja;0.00446616
2019-11-05 17:00:00;7.5486;45;0;10.9885609838;10.9885609838;baja;aceptable;17;2019-11-05;baja;0.00452916
2019-11-05 18:00:00;7.9152;48.01;0;9.5862588694;9.5862588694;baja;aceptable;18;2019-11-05;baja;0.00474912
2019-11-05 19:00:00;8.0712;47.56;0;8.0980076161;8.0980076161;baja;aceptable;19;2019-11-05;baja;0.00484272
2019-11-05 20:00:00;7.995;43.3;0;6.7584942348;6.7584942348;baja;aceptable;20;2019-11-05;baja;0.004797
2019-11-05 21:00:00;7.8354;41.21;0;5.8451170151;5.8451170151;baja;aceptable;21;2019-11-05;baja;0.00470124
