Datetime;demand_MW;Price_EUR_MWh;res_Power
2019-01-01 00:00:00;6968.4210526316;66.88;0
2019-01-01 01:00:00;6776.8421052632;66;0
2019-01-01 02:00:00;6626.8421052632;63.64;0
2019-01-01 03:00:00;6572.1052631579;58.85;0
2019-01-01 04:00:00;6510;55.47;0
2019-01-01 05:00:00;6573.6842105263;56;0
2019-01-01 06:00:00;6655.7894736842;61.09;0
2019-01-01 07:00:00;6808.4210526316;61.01;0
2019-01-01 08:00:00;7005.2631578947;61;620.6893133333
2019-01-01 09:00:00;7154.7368421053;63;1277.535122
2019-01-01 10:00:00;7181.052631579;63;2097.9872053333
2019-01-01 11:00:00;7024.2105263158;64.03;2618.9529013333
2019-01-01 12:00:00;6870.5263157895;65.88;2433.1411286667
2019-01-01 13:00:00;6801.052631579;65.01;1593.535328
2019-01-01 14:00:00;6709.4736842105;60.84;748.013842
2019-01-01 15:00:00;6572.6315789474;61.09;49.844948
2019-01-01 16:00:00;6496.3157894737;63.08;0
2019-01-01 17:00:00;6690.5263157895;66.66;0
2019-01-01 18:00:00;7163.6842105263;67.06;0
2019-01-01 19:00:00;7366.8421052632;67.26;0
2019-01-01 20:00:00;7348.4210526316;68.07;0
2019-01-01 21:00:00;7247.3684210526;67.08;0
2019-01-01 22:00:00;7109.4736842105;64.03;0
2019-01-01 23:00:00;6895.7894736842;61.74;0
2019-01-02 00:00:00;6641.052631579;53;0
2019-01-02 01:00:00;6389.4736842105;48.23;0
2019-01-02 02:00:00;6242.6315789474;47.23;0
2019-01-02 03:00:00;6233.6842105263;45.24;0
2019-01-02 04:00:00;6208.9473684211;45.7;0
2019-01-02 05:00:00;6264.7368421053;51.1;0
2019-01-02 06:00:00;6452.1052631579;58.37;0
2019-01-02 07:00:00;6711.5789473684;63.75;525.2748006667
2019-01-02 08:00:00;7020;66.1;3594.869966
2019-01-02 09:00:00;7142.6315789474;65.88;7362.1065273333
2019-01-02 10:00:00;7353.6842105263;63.63;8412.6079553333
2019-01-02 11:00:00;7524.2105263158;62.8;8429.9768506667
2019-01-02 12:00:00;7536.3157894737;63.16;8149.5502426667
2019-01-02 13:00:00;7472.1052631579;61.5;7311.1391406667
2019-01-02 14:00:00;7373.6842105263;60.69;5210.9480053333
2019-01-02 15:00:00;7309.4736842105;62.19;1279.43556
2019-01-02 16:00:00;7274.2105263158;67.1;0
2019-01-02 17:00:00;7388.4210526316;69.3;0
2019-01-02 18:00:00;7768.9473684211;69.25;0
2019-01-02 19:00:00;7892.1052631579;68.07;0
2019-01-02 20:00:00;7806.3157894737;68.01;0
2019-01-02 21:00:00;7695.2631578947;66.66;0
2019-01-02 22:00:00;7448.9473684211;64.28;0
2019-01-02 23:00:00;7105.2631578947;62.01;0
2019-01-03 00:00:00;6758.4210526316;54.85;0
