datetime;pv_power_1;pv_power_2;pv_power_3;hour;Ta;area_1;area_2;area_3;irradiance_common
2019-01-01 00:00:00;0;0;0;0;5;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 01:00:00;0;0;0;1;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 02:00:00;0;0;0;2;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 03:00:00;0;0;0;3;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 04:00:00;0;0;0;4;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 05:00:00;0;0;0;5;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 06:00:00;0;0;0;6;6;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 07:00:00;0;0;0;7;8;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 08:00:00;197.8980576412;307.2007571003;115.5904985918;8;12;39.2543064596;40.7643858143;41.5038863765;30.9290526986
2019-01-01 09:00:00;120.7602667409;382.9603549262;773.8145003329;9;15;39.2543064596;40.7643858143;41.5038863765;19.2272322505
2019-01-01 10:00:00;113.3544786582;1740.7614318465;243.8712948286;10;18;39.2543064596;40.7643858143;41.5038863765;18.3929640821
2019-01-01 11:00:00;549.9971430837;121.0445356436;1947.911222606;11;20;39.2543064596;40.7643858143;41.5038863765;90.3943792437
2019-01-01 12:00:00;963.9200952245;741.3197439503;727.9012894919;12;22;39.2543064596;40.7643858143;41.5038863765;160.4952910791
2019-01-01 13:00:00;823.6704355429;731.0467449234;38.8181475338;13;24;39.2543064596;40.7643858143;41.5038863765;138.9598132864
2019-01-01 14:00:00;93.185108791;37.6197123485;617.2090208605;14;26;39.2543064596;40.7643858143;41.5038863765;15.9320969114
2019-01-01 15:00:00;20.7101799523;8.3825693448;20.7521987028;15;27;39.2543064596;40.7643858143;41.5038863765;3.5647973674
2019-01-01 16:00:00;0;0;0;16;26;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 17:00:00;0;0;0;17;25;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 18:00:00;0;0;0;18;22;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 19:00:00;0;0;0;19;20;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 20:00:00;0;0;0;20;18;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 21:00:00;0;0;0;21;15;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 22:00:00;0;0;0;22;10;39.2543064596;40.7643858143;41.5038863765;0
2019-01-01 23:00:00;0;0;0;23;7;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 00:00:00;0;0;0;0;5;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 01:00:00;0;0;0;1;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 02:00:00;0;0;0;2;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 03:00:00;0;0;0;3;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 04:00:00;0;0;0;4;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 05:00:00;0;0;0;5;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 06:00:00;0;0;0;6;6;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 07:00:00;51.4213899038;274.9671557685;198.8862549943;7;8;39.2543064596;40.7643858143;41.5038863765;7.8440441869
2019-01-02 08:00:00;49.9031804493;3262.7949784122;282.1718071385;8;12;39.2543064596;40.7643858143;41.5038863765;7.7992584482
2019-01-02 09:00:00;1417.1907464223;2694.4362598828;3250.4795210282;9;15;39.2543064596;40.7643858143;41.5038863765;225.6425590976
2019-01-02 10:00:00;234.5060415434;7700.1957192046;477.9061945853;10;18;39.2543064596;40.7643858143;41.5038863765;38.0510876165
2019-01-02 11:00:00;6971.0028065557;1392.5677238322;66.4063202789;11;20;39.2543064596;40.7643858143;41.5038863765;1145.7140811165
2019-01-02 12:00:00;1262.0179476637;1069.3769424431;5818.15535256;12;22;39.2543064596;40.7643858143;41.5038863765;210.1293860982
2019-01-02 13:00:00;122.6212092021;4646.7522753267;2541.7656561378;13;24;39.2543064596;40.7643858143;41.5038863765;20.6871821549
2019-01-02 14:00:00;1544.3965456005;3463.2946108149;203.256848918;14;26;39.2543064596;40.7643858143;41.5038863765;264.0494361536
2019-01-02 15:00:00;669.6575400764;252.8786451073;356.8993748163;15;27;39.2543064596;40.7643858143;41.5038863765;115.2666679587
2019-01-02 16:00:00;0;0;0;16;26;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 17:00:00;0;0;0;17;25;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 18:00:00;0;0;0;18;22;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 19:00:00;0;0;0;19;20;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 20:00:00;0;0;0;20;18;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 21:00:00;0;0;0;21;15;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 22:00:00;0;0;0;22;10;39.2543064596;40.7643858143;41.5038863765;0
2019-01-02 23:00:00;0;0;0;23;7;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 00:00:00;0;0;0;0;5;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 01:00:00;0;0;0;1;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 02:00:00;0;0;0;2;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 03:00:00;0;0;0;3;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 04:00:00;0;0;0;4;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 05:00:00;0;0;0;5;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 06:00:00;0;0;0;6;6;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 07:00:00;167.048447006;128.3432113798;794.0265969475;7;8;39.2543064596;40.7643858143;41.5038863765;25.4823022504
2019-01-03 08:00:00;1984.0263402183;1635.1912421209;1058.5142483276;8;12;39.2543064596;40.7643858143;41.5038863765;310.0791183273
2019-01-03 09:00:00;3599.4590334;2817.463459457;1317.9300184763;9;15;39.2543064596;40.7643858143;41.5038863765;573.0993867365
2019-01-03 10:00:00;38.0625233229;1497.2514425626;6750.9786921145;10;18;39.2543064596;40.7643858143;41.5038863765;6.176047322
2019-01-03 11:00:00;1834.4236732425;2489.0723167508;3959.4462126734;11;20;39.2543064596;40.7643858143;41.5038863765;301.4953646541
2019-01-03 12:00:00;2650.2381420703;4921.2337719163;410.3122866801;12;22;39.2543064596;40.7643858143;41.5038863765;441.2717860616
2019-01-03 13:00:00;44.0593319526;2736.5127806109;4333.7235621032;13;24;39.2543064596;40.7643858143;41.5038863765;7.4331629223
2019-01-03 14:00:00;3051.3860209282;1478.4260372137;473.2631965249;14;26;39.2543064596;40.7643858143;41.5038863765;521.7032896171
2019-01-03 15:00:00;27.8633901459;386.0243364704;853.6875587171;15;27;39.2543064596;40.7643858143;41.5038863765;4.7960635817
2019-01-03 16:00:00;0;0;0;16;26;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 17:00:00;0;0;0;17;25;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 18:00:00;0;0;0;18;22;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 19:00:00;0;0;0;19;20;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 20:00:00;0;0;0;20;18;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 21:00:00;0;0;0;21;15;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 22:00:00;0;0;0;22;10;39.2543064596;40.7643858143;41.5038863765;0
2019-01-03 23:00:00;0;0;0;23;7;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 00:00:00;0;0;0;0;5;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 01:00:00;0;0;0;1;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 02:00:00;0;0;0;2;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 03:00:00;0;0;0;3;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 04:00:00;0;0;0;4;3;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 05:00:00;0;0;0;5;4;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 06:00:00;0;0;0;6;6;39.2543064596;40.7643858143;41.5038863765;0
2019-01-04 07:00:00;1.1173574047;0.967598728;4.9483505341;7;8;39.2543064596;40.7643858143;41.5038863765;0.1704465957
2019-01-04 08:00:00;115.186897481;99.9667879142;31.4745119382;8;12;39.2543064596;40.7643858143;41.5038863765;18.0023071719
2019-01-04 09:00:00;4.1462880018;138.9068507775;563.466602554;9;15;39.2543064596;40.7643858143;41.5038863765;0.6601645106
2019-01-04 10:00:00;441.2172347292;684.6368691879;231.4367887496;10;18;39.2543064596;40.7643858143;41.5038863765;71.5921668631
2019-01-04 11:00:00;1102.9565824021;442.3293207616;24.1796188363;11;20;39.2543064596;40.7643858143;41.5038863765;181.2756245242
2019-01-04 12:00:00;224.9534717894;790.6371931358;54.8328450748;12;22;39.2543064596;40.7643858143;41.5038863765;37.4553587097
