Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Spain,ESP,2019-01-01 00:00:00,2019-01-01 01:00:00,66.88
Spain,ESP,2019-01-01 01:00:00,2019-01-01 02:00:00,66.0
Spain,ESP,2019-01-01 02:00:00,2019-01-01 03:00:00,63.64
Spain,ESP,2019-01-01 03:00:00,2019-01-01 04:00:00,58.85
Spain,ESP,2019-01-01 04:00:00,2019-01-01 05:00:00,55.47
Spain,ESP,2019-01-01 05:00:00,2019-01-01 06:00:00,56.0
Spain,ESP,2019-01-01 06:00:00,2019-01-01 07:00:00,61.09
Spain,ESP,2019-01-01 07:00:00,2019-01-01 08:00:00,61.01
Spain,ESP,2019-01-01 08:00:00,2019-01-01 09:00:00,61.0
Spain,ESP,2019-01-01 09:00:00,2019-01-01 10:00:00,63.0
Spain,ESP,2019-01-01 10:00:00,2019-01-01 11:00:00,63.0
Spain,ESP,2019-01-01 11:00:00,2019-01-01 12:00:00,64.03
Spain,ESP,2019-01-01 12:00:00,2019-01-01 13:00:00,65.88
Spain,ESP,2019-01-01 13:00:00,2019-01-01 14:00:00,65.01
Spain,ESP,2019-01-01 14:00:00,2019-01-01 15:00:00,60.84
Spain,ESP,2019-01-01 15:00:00,2019-01-01 16:00:00,61.09
Spain,ESP,2019-01-01 16:00:00,2019-01-01 17:00:00,63.08
Spain,ESP,2019-01-01 17:00:00,2019-01-01 18:00:00,66.66
Spain,ESP,2019-01-01 18:00:00,2019-01-01 19:00:00,67.06
Spain,ESP,2019-01-01 19:00:00,2019-01-01 20:00:00,67.26
Spain,ESP,2019-01-01 20:00:00,2019-01-01 21:00:00,68.07
Spain,ESP,2019-01-01 21:00:00,2019-01-01 22:00:00,67.08
Spain,ESP,2019-01-01 22:00:00,2019-01-01 23:00:00,64.03
Spain,ESP,2019-01-01 23:00:00,2019-01-02 00:00:00,61.74
Spain,ESP,2019-01-02 00:00:00,2019-01-02 01:00:00,53.0
Spain,ESP,2019-01-02 01:00:00,2019-01-02 02:00:00,48.23
Spain,ESP,2019-01-02 02:00:00,2019-01-02 03:00:00,47.23
Spain,ESP,2019-01-02 03:00:00,2019-01-02 04:00:00,45.24
Spain,ESP,2019-01-02 04:00:00,2019-01-02 05:00:00,45.7
Spain,ESP,2019-01-02 05:00:00,2019-01-02 06:00:00,51.1
Spain,ESP,2019-01-02 06:00:00,2019-01-02 07:00:00,58.37
Spain,ESP,2019-01-02 07:00:00,2019-01-02 08:00:00,63.75
Spain,ESP,2019-01-02 08:00:00,2019-01-02 09:00:00,66.1
Spain,ESP,2019-01-02 09:00:00,2019-01-02 10:00:00,65.88
Spain,ESP,2019-01-02 10:00:00,2019-01-02 11:00:00,63.63
Spain,ESP,2019-01-02 11:00:00,2019-01-02 12:00:00,62.8
Spain,ESP,2019-01-02 12:00:00,2019-01-02 13:00:00,63.16
Spain,ESP,2019-01-02 13:00:00,2019-01-02 14:00:00,61.5
Spain,ESP,2019-01-02 14:00:00,2019-01-02 15:00:00,60.69
Spain,ESP,2019-01-02 15:00:00,2019-01-02 16:00:00,62.19
Spain,ESP,2019-01-02 16:00:00,2019-01-02 17:00:00,67.1
Spain,ESP,2019-01-02 17:00:00,2019-01-02 18:00:00,69.3
Spain,ESP,2019-01-02 18:00:00,2019-01-02 19:00:00,69.25
Spain,ESP,2019-01-02 19:00:00,2019-01-02 20:00:00,68.07
Spain,ESP,2019-01-02 20:00:00,2019-01-02 21:00:00,68.01
Spain,ESP,2019-01-02 21:00:00,2019-01-02 22:00:00,66.66
Spain,ESP,2019-01-02 22:00:00,2019-01-02 23:00:00,64.28
Spain,ESP,2019-01-02 23:00:00,2019-01-03 00:00:00,62.01
Spain,ESP,2019-01-03 00:00:00,2019-01-03 01:00:00,54.85
Spain,ESP,2019-01-03 01:00:00,2019-01-03 02:00:00,52.19
Spain,ESP,2019-01-03 02:00:00,2019-01-03 03:00:00,50.21
Spain,ESP,2019-01-03 03:00:00,2019-01-03 04:00:00,50.2
Spain,ESP,2019-01-03 04:00:00,2019-01-03 05:00:00,52.19
Spain,ESP,2019-01-03 05:00:00,2019-01-03 06:00:00,54.91
Spain,ESP,2019-01-03 06:00:00,2019-01-03 07:00:00,66.58
Spain,ESP,2019-01-03 07:00:00,2019-01-03 08:00:00,68.03
Spain,ESP,2019-01-03 08:00:00,2019-01-03 09:00:00,69.12
Spain,ESP,2019-01-03 09:00:00,2019-01-03 10:00:00,69.19
Spain,ESP,2019-01-03 10:00:00,2019-01-03 11:00:00,68.01
Spain,ESP,2019-01-03 11:00:00,2019-01-03 12:00:00,67.2
Spain,ESP,2019-01-03 12:00:00,2019-01-03 13:00:00,66.7
Spain,ESP,2019-01-03 13:00:00,2019-01-03 14:00:00,67.0
Spain,ESP,2019-01-03 14:00:00,2019-01-03 15:00:00,68.01
Spain,ESP,2019-01-03 15:00:00,2019-01-03 16:00:00,68.99
Spain,ESP,2019-01-03 16:00:00,2019-01-03 17:00:00,70.0
Spain,ESP,2019-01-03 17:00:00,2019-01-03 18:00:00,71.1
Spain,ESP,2019-01-03 18:00:00,2019-01-03 19:00:00,70.55
Spain,ESP,2019-01-03 19:00:00,2019-01-03 20:00:00,68.38
Spain,ESP,2019-01-03 20:00:00,2019-01-03 21:00:00,67.83
Spain,ESP,2019-01-03 21:00:00,2019-01-03 22:00:00,66.1
Spain,ESP,2019-01-03 22:00:00,2019-01-03 23:00:00,66.88
Spain,ESP,2019-01-03 23:00:00,2019-01-04 00:00:00,67.2
Spain,ESP,2019-01-04 00:00:00,2019-01-04 01:00:00,63.75
Spain,ESP,2019-01-04 01:00:00,2019-01-04 02:00:00,58.89
Spain,ESP,2019-01-04 02:00:00,2019-01-04 03:00:00,54.94
Spain,ESP,2019-01-04 03:00:00,2019-01-04 04:00:00,54.85
Spain,ESP,2019-01-04 04:00:00,2019-01-04 05:00:00,58.0
Spain,ESP,2019-01-04 05:00:00,2019-01-04 06:00:00,63.0
Spain,ESP,2019-01-04 06:00:00,2019-01-04 07:00:00,68.4
Spain,ESP,2019-01-04 07:00:00,2019-01-04 08:00:00,69.71
Spain,ESP,2019-01-04 08:00:00,2019-01-04 09:00:00,71.06
Spain,ESP,2019-01-04 09:00:00,2019-01-04 10:00:00,71.06
Spain,ESP,2019-01-04 10:00:00,2019-01-04 11:00:00,70.16
Spain,ESP,2019-01-04 11:00:00,2019-01-04 12:00:00,70.01
Spain,ESP,2019-01-04 12:00:00,2019-01-04 13:00:00,69.17
Spain,ESP,2019-01-04 13:00:00,2019-01-04 14:00:00,69.15
Spain,ESP,2019-01-04 14:00:00,2019-01-04 15:00:00,68.4
Spain,ESP,2019-01-04 15:00:00,2019-01-04 16:00:00,68.4
Spain,ESP,2019-01-04 16:00:00,2019-01-04 17:00:00,69.15
Spain,ESP,2019-01-04 17:00:00,2019-01-04 18:00:00,71.06
Spain,ESP,2019-01-04 18:00:00,2019-01-04 19:00:00,71.94
Spain,ESP,2019-01-04 19:00:00,2019-01-04 20:00:00,70.2
Spain,ESP,2019-01-04 20:00:00,2019-01-04 21:00:00,68.71
Spain,ESP,2019-01-04 21:00:00,2019-01-04 22:00:00,68.68
Spain,ESP,2019-01-04 22:00:00,2019-01-04 23:00:00,68.17
Spain,ESP,2019-01-04 23:00:00,2019-01-05 00:00:00,71.68
Spain,ESP,2019-01-05 00:00:00,2019-01-05 01:00:00,69.5
Spain,ESP,2019-01-05 01:00:00,2019-01-05 02:00:00,68.07
Spain,ESP,2019-01-05 02:00:00,2019-01-05 03:00:00,66.0
Spain,ESP,2019-01-05 03:00:00,2019-01-05 04:00:00,63.93
Spain,ESP,2019-01-05 04:00:00,2019-01-05 05:00:00,62.0
Spain,ESP,2019-01-05 05:00:00,2019-01-05 06:00:00,60.84
Spain,ESP,2019-01-05 06:00:00,2019-01-05 07:00:00,62.92
Spain,ESP,2019-01-05 07:00:00,2019-01-05 08:00:00,60.79
Spain,ESP,2019-01-05 08:00:00,2019-01-05 09:00:00,66.92
Spain,ESP,2019-01-05 09:00:00,2019-01-05 10:00:00,69.12
Spain,ESP,2019-01-05 10:00:00,2019-01-05 11:00:00,68.25
Spain,ESP,2019-01-05 11:00:00,2019-01-05 12:00:00,67.67
Spain,ESP,2019-01-05 12:00:00,2019-01-05 13:00:00,64.0
Spain,ESP,2019-01-05 13:00:00,2019-01-05 14:00:00,61.57
Spain,ESP,2019-01-05 14:00:00,2019-01-05 15:00:00,59.4
Spain,ESP,2019-01-05 15:00:00,2019-01-05 16:00:00,58.31
Spain,ESP,2019-01-05 16:00:00,2019-01-05 17:00:00,67.2
Spain,ESP,2019-01-05 17:00:00,2019-01-05 18:00:00,69.0
Spain,ESP,2019-01-05 18:00:00,2019-01-05 19:00:00,68.71
Spain,ESP,2019-01-05 19:00:00,2019-01-05 20:00:00,68.07
Spain,ESP,2019-01-05 20:00:00,2019-01-05 21:00:00,65.38
Spain,ESP,2019-01-05 21:00:00,2019-01-05 22:00:00,65.76
Spain,ESP,2019-01-05 22:00:00,2019-01-05 23:00:00,62.8
Spain,ESP,2019-01-05 23:00:00,2019-01-06 00:00:00,63.75
Spain,ESP,2019-01-06 00:00:00,2019-01-06 01:00:00,54.7
Spain,ESP,2019-01-06 01:00:00,2019-01-06 02:00:00,54.05
Spain,ESP,2019-01-06 02:00:00,2019-01-06 03:00:00,48.06
Spain,ESP,2019-01-06 03:00:00,2019-01-06 04:00:00,48.37
Spain,ESP,2019-01-06 04:00:00,2019-01-06 05:00:00,47.17
Spain,ESP,2019-01-06 05:00:00,2019-01-06 06:00:00,48.19
Spain,ESP,2019-01-06 06:00:00,2019-01-06 07:00:00,50.2
Spain,ESP,2019-01-06 07:00:00,2019-01-06 08:00:00,52.2
Spain,ESP,2019-01-06 08:00:00,2019-01-06 09:00:00,54.7
Spain,ESP,2019-01-06 09:00:00,2019-01-06 10:00:00,62.0
Spain,ESP,2019-01-06 10:00:00,2019-01-06 11:00:00,64.01
Spain,ESP,2019-01-06 11:00:00,2019-01-06 12:00:00,64.18
Spain,ESP,2019-01-06 12:00:00,2019-01-06 13:00:00,64.86
Spain,ESP,2019-01-06 13:00:00,2019-01-06 14:00:00,64.01
Spain,ESP,2019-01-06 14:00:00,2019-01-06 15:00:00,58.31
Spain,ESP,2019-01-06 15:00:00,2019-01-06 16:00:00,54.94
Spain,ESP,2019-01-06 16:00:00,2019-01-06 17:00:00,63.43
Spain,ESP,2019-01-06 17:00:00,2019-01-06 18:00:00,67.37
Spain,ESP,2019-01-06 18:00:00,2019-01-06 19:00:00,67.2
Spain,ESP,2019-01-06 19:00:00,2019-01-06 20:00:00,66.03
Spain,ESP,2019-01-06 20:00:00,2019-01-06 21:00:00,68.0
Spain,ESP,2019-01-06 21:00:00,2019-01-06 22:00:00,67.65
Spain,ESP,2019-01-06 22:00:00,2019-01-06 23:00:00,65.38
Spain,ESP,2019-01-06 23:00:00,2019-01-07 00:00:00,59.59
Spain,ESP,2019-01-07 00:00:00,2019-01-07 01:00:00,54.09
Spain,ESP,2019-01-07 01:00:00,2019-01-07 02:00:00,52.2
Spain,ESP,2019-01-07 02:00:00,2019-01-07 03:00:00,50.9
Spain,ESP,2019-01-07 03:00:00,2019-01-07 04:00:00,50.5
Spain,ESP,2019-01-07 04:00:00,2019-01-07 05:00:00,50.9
Spain,ESP,2019-01-07 05:00:00,2019-01-07 06:00:00,55.77
Spain,ESP,2019-01-07 06:00:00,2019-01-07 07:00:00,68.61
Spain,ESP,2019-01-07 07:00:00,2019-01-07 08:00:00,69.15
Spain,ESP,2019-01-07 08:00:00,2019-01-07 09:00:00,69.7
Spain,ESP,2019-01-07 09:00:00,2019-01-07 10:00:00,69.49
Spain,ESP,2019-01-07 10:00:00,2019-01-07 11:00:00,69.01
Spain,ESP,2019-01-07 11:00:00,2019-01-07 12:00:00,69.0
Spain,ESP,2019-01-07 12:00:00,2019-01-07 13:00:00,68.74
Spain,ESP,2019-01-07 13:00:00,2019-01-07 14:00:00,66.62
Spain,ESP,2019-01-07 14:00:00,2019-01-07 15:00:00,64.99
Spain,ESP,2019-01-07 15:00:00,2019-01-07 16:00:00,62.67
Spain,ESP,2019-01-07 16:00:00,2019-01-07 17:00:00,67.04
Spain,ESP,2019-01-07 17:00:00,2019-01-07 18:00:00,70.39
Spain,ESP,2019-01-07 18:00:00,2019-01-07 19:00:00,70.33
Spain,ESP,2019-01-07 19:00:00,2019-01-07 20:00:00,69.0
Spain,ESP,2019-01-07 20:00:00,2019-01-07 21:00:00,67.14
Spain,ESP,2019-01-07 21:00:00,2019-01-07 22:00:00,63.0
Spain,ESP,2019-01-07 22:00:00,2019-01-07 23:00:00,60.84
Spain,ESP,2019-01-07 23:00:00,2019-01-08 00:00:00,59.59
Spain,ESP,2019-01-08 00:00:00,2019-01-08 01:00:00,54.34
Spain,ESP,2019-01-08 01:00:00,2019-01-08 02:00:00,52.1
Spain,ESP,2019-01-08 02:00:00,2019-01-08 03:00:00,50.71
Spain,ESP,2019-01-08 03:00:00,2019-01-08 04:00:00,50.5
Spain,ESP,2019-01-08 04:00:00,2019-01-08 05:00:00,51.17
Spain,ESP,2019-01-08 05:00:00,2019-01-08 06:00:00,54.69
Spain,ESP,2019-01-08 06:00:00,2019-01-08 07:00:00,65.82
Spain,ESP,2019-01-08 07:00:00,2019-01-08 08:00:00,67.2
Spain,ESP,2019-01-08 08:00:00,2019-01-08 09:00:00,68.16
Spain,ESP,2019-01-08 09:00:00,2019-01-08 10:00:00,68.53
Spain,ESP,2019-01-08 10:00:00,2019-01-08 11:00:00,68.15
Spain,ESP,2019-01-08 11:00:00,2019-01-08 12:00:00,67.95
Spain,ESP,2019-01-08 12:00:00,2019-01-08 13:00:00,67.97
Spain,ESP,2019-01-08 13:00:00,2019-01-08 14:00:00,65.48
Spain,ESP,2019-01-08 14:00:00,2019-01-08 15:00:00,63.13
Spain,ESP,2019-01-08 15:00:00,2019-01-08 16:00:00,59.99
Spain,ESP,2019-01-08 16:00:00,2019-01-08 17:00:00,67.25
Spain,ESP,2019-01-08 17:00:00,2019-01-08 18:00:00,69.94
Spain,ESP,2019-01-08 18:00:00,2019-01-08 19:00:00,70.0
Spain,ESP,2019-01-08 19:00:00,2019-01-08 20:00:00,68.15
Spain,ESP,2019-01-08 20:00:00,2019-01-08 21:00:00,67.25
Spain,ESP,2019-01-08 21:00:00,2019-01-08 22:00:00,63.7
Spain,ESP,2019-01-08 22:00:00,2019-01-08 23:00:00,58.85
Spain,ESP,2019-01-08 23:00:00,2019-01-09 00:00:00,54.09
Spain,ESP,2019-01-09 00:00:00,2019-01-09 01:00:00,52.5
Spain,ESP,2019-01-09 01:00:00,2019-01-09 02:00:00,49.4
Spain,ESP,2019-01-09 02:00:00,2019-01-09 03:00:00,49.6
Spain,ESP,2019-01-09 03:00:00,2019-01-09 04:00:00,49.4
Spain,ESP,2019-01-09 04:00:00,2019-01-09 05:00:00,49.99
Spain,ESP,2019-01-09 05:00:00,2019-01-09 06:00:00,53.28
Spain,ESP,2019-01-09 06:00:00,2019-01-09 07:00:00,64.07
Spain,ESP,2019-01-09 07:00:00,2019-01-09 08:00:00,67.16
Spain,ESP,2019-01-09 08:00:00,2019-01-09 09:00:00,67.29
Spain,ESP,2019-01-09 09:00:00,2019-01-09 10:00:00,67.2
Spain,ESP,2019-01-09 10:00:00,2019-01-09 11:00:00,67.0
