Datetime;demand;price;solar_potential;wind_potential;weather
1/1/2025 0:00;196,0;1;0,0;156,249;Summer
1/1/2025 1:00;199,39000000000001;1;0,0;174,999;Summer
1/1/2025 2:00;200,0;1;0,0;193,749;Summer
1/1/2025 3:00;221,56;1;0,0;81,24900000000001;Summer
1/1/2025 4:00;220,0;1;0,0;184,014;Summer
1/1/2025 5:00;240,32;1;85,49999999999999;286,185;Summer
1/1/2025 6:00;232,88;1;170,99999999999997;287,499;Summer
1/1/2025 7:00;231,73;1;207,0;314,211;Summer
1/1/2025 8:00;236,59;1;306,0;313,224;Summer
1/1/2025 9:00;255,33;1;418,5;365,658;Summer
1/1/2025 10:00;266,53;1;450,0;389,475;Summer
1/1/2025 11:00;283,09000000000003;1;450,0;398,223;Summer
1/1/2025 12:00;276,0;1;450,0;416,712;Summer
1/1/2025 13:00;284,0;1;400,5;450,0;Summer
1/1/2025 14:00;280,96999999999997;1;292,5;440,922;Summer
1/1/2025 15:00;276,95;1;184,5;381,249;Summer
1/1/2025 16:00;260,0;1;139,5;340,395;Summer
1/1/2025 17:00;283,24;1;0,0;227,433;Summer
1/1/2025 18:00;300,0;1;0,0;319,08000000000004;Summer
1/1/2025 19:00;300,0;1;0,0;277,5;Summer
1/1/2025 20:00;300,0;1;0,0;187,5;Summer
1/1/2025 21:00;300,0;1;0,0;119,868;Summer
1/1/2025 22:00;300,0;1;0,0;188,355;Summer
1/1/2025 23:00;283,34999999999997;1;0,0;150,264;Summer
2/1/2025 0:00;226,64999999999998;1;0,0;139,407;Summer
2/1/2025 1:00;222,42000000000002;1;0,0;193,749;Summer
2/1/2025 2:00;208,17;1;0,0;240,591;Summer
2/1/2025 3:00;224,0;1;0,0;287,499;Summer
2/1/2025 4:00;223,03;1;0,0;108,552;Summer
2/1/2025 5:00;240,57;1;103,5;245,592;Summer
2/1/2025 6:00;244,0;1;175,5;93,75;Summer
2/1/2025 7:00;240,0;1;225,0;312,50100000000003;Summer
2/1/2025 8:00;238,35999999999999;1;328,5;374,079;Summer
2/1/2025 9:00;258,72;1;450,0;375,0;Summer
2/1/2025 10:00;284,0;1;450,0;379,737;Summer
2/1/2025 11:00;278,63;1;450,0;362,172;Summer
2/1/2025 12:00;284,0;1;450,0;350,00100000000003;Summer
2/1/2025 13:00;284,0;1;409,5;343,749;Summer
2/1/2025 14:00;277,6;1;310,5;335,00100000000003;Summer
2/1/2025 15:00;264,0;1;225,0;179,475;Summer
2/1/2025 16:00;276,42;1;157,5;450,0;Summer
2/1/2025 17:00;280,99;1;0,0;409,473;Summer
2/1/2025 18:00;300,0;1;0,0;381,249;Summer
2/1/2025 19:00;300,0;1;0,0;123,42;Summer
2/1/2025 20:00;300,0;1;0,0;350,00100000000003;Summer
2/1/2025 21:00;300,0;1;0,0;318,75;Summer
2/1/2025 22:00;278,61;1;0,0;283,815;Summer
2/1/2025 23:00;255,54;1;0,0;188,025;Summer
3/1/2025 0:00;240,0;1;0,0;143,751;Monsoon
3/1/2025 1:00;233,92;1;0,0;121,842;Monsoon
3/1/2025 2:00;200,0;1;0,0;24,999;Monsoon
3/1/2025 3:00;224,0;1;0,0;24,999;Monsoon
3/1/2025 4:00;232,51;1;0,0;24,999;Monsoon
3/1/2025 5:00;262,55;1;18,0;38,421;Monsoon
3/1/2025 6:00;272,04;1;36,0;137,895;Monsoon
3/1/2025 7:00;276,0;1;49,5;156,249;Monsoon
3/1/2025 8:00;300,0;1;63,0;188,685;Monsoon
3/1/2025 9:00;300,0;1;85,49999999999999;163,74900000000002;Monsoon
3/1/2025 10:00;292,0;1;121,5;153,684;Monsoon
3/1/2025 11:00;300,0;1;157,5;62,238;Monsoon
3/1/2025 12:00;300,0;1;103,5;24,999;Monsoon
3/1/2025 13:00;300,0;1;76,5;24,999;Monsoon
