episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,potential_load#0,action_load#0,power_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
1242,0,0.17144763175450306,0.0,1,0.0,0,1537.8355004999999,1,1537.8355004999999,1,15462.335887300002,2,15000.0,0,0.2955057522605533,0,462.33588729999974,1,462.33588729999974,0,8505.0856939,0,-8495.0856939,0,29.3472287758,1537.8355004999999,1,1537.8355004999999,1,17000.1713878,9,17000.1713878,9,0.0,0,surplus,-1.0,1.0,69.58,1.0,1.014
1242,1,0.17144763175450306,0.0,0,0.0,0,200.8308623,0,0.0,0,0.0,0,0.0,0,0.2955057522605533,0,15063.968602399998,1,15000.0,9,7531.984301199999,1,-7531.984301199999,0,22.4367461731,200.8308623,0,0.0,0,15000.0,9,15063.968602399998,9,-63.96860239999842,0,deficit,1.0,1.0,1.086,1.0,1.014
1242,2,0.17144763175450306,0.0,0,0.0,0,1020.2993699,1,1020.2993699,0,0.0,0,0.0,0,0.2955057522605533,0,8537.4100753,1,8537.4100753,8,4783.8547226,0,-4773.8547226,0,12.9322565767,1020.2993699,0,1020.2993699,0,9557.7094452,9,9557.7094452,9,0.0,0,surplus,1.0,-1.0,1.086,1.0,1.014
1242,3,0.17144763175450306,0.0,0,0.0,0,970.8031749,1,970.8031749,0,0.0,0,0.0,0,0.2955057522605533,0,8333.921925300001,1,8333.921925300001,7,4652.362550100001,1,-4652.362550100001,0,9.3511988805,970.8031749,0,970.8031749,0,9304.725100200001,8,9304.725100200001,8,0.0,0,surplus,1.0,-1.0,1.086,1.0,1.014
1242,4,0.17144763175450306,0.0,0,0.0,0,812.4548826,0,0.0,0,0.0,0,0.0,0,0.2955057522605533,0,11796.6970786,1,11796.6970786,9,5898.3485393,1,-5898.3485393,0,18.5130912308,812.4548826,0,0.0,0,11796.6970786,9,11796.6970786,9,0.0,0,surplus,1.0,1.0,1.086,1.0,1.014
1242,5,0.17144763175450306,0.0,0,0.0,0,748.6019295000001,0,0.0,0,0.0,0,0.0,0,0.2955057522605533,0,11292.9467538,1,11292.9467538,9,5651.4733769,0,-5641.4733769,0,10.5541480746,748.6019295000001,0,0.0,0,11292.9467538,9,11292.9467538,9,0.0,0,surplus,1.0,1.0,1.086,1.0,1.014
1242,6,0.17144763175450306,0.0,0,0.0,0,859.0519668999999,0,0.0,0,0.0,0,0.0,0,0.2955057522605533,0,14554.067032,0,0.0,0,7282.033516,0,-7272.033516,0,19.4296894129,859.0519668999999,0,0.0,0,0.0,0,14554.067032,9,-14554.067032,0,deficit,1.0,1.0,1.086,-1.5,1.014
1242,7,0.17144763175450306,417.8066641,0,0.0,0,175.3118177,1,175.3118177,0,14901.7748949,2,8258.162975485771,0,0.1,0,6643.611919414228,1,6643.611919414228,6,7538.5433563,1,-7538.5433563,0,20.3006431854,593.1184817999999,0,175.3118177,0,15077.0867126,9,15077.0867126,9,0.0,0,surplus,1.0,-1.0,-4.414,1.0,1.014
1242,8,0.17144763175450306,651.8176006,0,0.0,0,405.8419012,0,0.0,0,0.0,0,0.0,0,0.1,0,17003.8926474,1,15000.0,9,8506.9463237,0,-8496.9463237,0,29.9266906509,1057.6595018,1,0.0,0,15000.0,9,17003.8926474,9,-2003.8926474,0,deficit,1.0,1.0,1.086,1.0,1.014
1242,9,0.17144763175450306,894.5066853,0,0.0,0,743.180838,0,0.0,0,16527.8794948,2,0.0,0,0.1,0,16527.8794948,0,0.0,0,8263.9397474,1,-8263.9397474,0,23.8681189581,1637.6875233,1,0.0,0,0.0,0,16527.8794948,9,-16527.8794948,0,deficit,1.0,1.0,-4.414,-1.5,1.014
