episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_delta_power_idx,reward_solar#0,reward_battery#0
2,0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.16827729136125005,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,1,0.5,0.0,1,0.0,0,20.0,2,20.0,0,0.1266106246945834,0,0.0,0,0.0,0,20.0,1,20.0,1,0.0,surplus,-1.0,-1.015
2,2,0.5,0.0,0,0.0,0,0.0,1,0.0,0,0.1266106246945834,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-1.73
2,3,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.1266106246945834,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,4,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.1266106246945834,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,5,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.1266106246945834,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,6,0.5,0.0,1,0.0,0,0.0,0,0.0,0,0.1266106246945834,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-1.0,-0.591
2,7,0.5,5.96658046,0,0.0,0,20.0,2,20.0,0,0.08494395802791672,0,5.96658046,0,0.0,0,20.0,1,20.0,1,0.0,surplus,-0.1,-1.015
2,8,0.5,32.1457762933,0,0.0,0,0.0,1,0.0,0,0.08494395802791672,0,32.1457762933,1,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-1.73
2,9,0.5,47.5150206467,0,0.0,0,0.0,0,0.0,0,0.08494395802791672,0,47.5150206467,2,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,10,0.5,62.4906406933,0,0.0,0,0.0,1,0.0,0,0.08494395802791672,0,62.4906406933,3,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-1.73
2,11,0.5,63.5027865133,0,0.0,0,20.0,2,20.0,0,0.04327729136125005,0,63.5027865133,3,0.0,0,20.0,1,20.0,1,0.0,surplus,-0.1,-1.015
2,12,0.5,85.7896011,1,85.7896011,5,65.7896011,1,-65.7896011,0,0.18033896031958338,0,85.7896011,5,85.7896011,5,85.7896011,5,85.7896011,5,0.0,surplus,-1.0,-1.73
2,13,0.5,85.6420220933,0,0.0,0,0.0,0,0.0,0,0.18033896031958338,0,85.6420220933,5,0.0,0,0.0,0,20.0,1,-20.0,deficit,4.0,-2.364
2,14,0.5,73.2580792067,0,0.0,0,0.0,1,0.0,0,0.18033896031958338,0,73.2580792067,4,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-1.73
2,15,0.5,36.8728568867,0,0.0,0,0.0,0,0.0,0,0.18033896031958338,0,36.8728568867,2,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,16,0.5,0.0,0,0.0,0,20.0,2,20.0,0,0.13867229365291672,0,0.0,0,0.0,0,20.0,1,20.0,1,0.0,surplus,-0.1,-1.015
2,17,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.13867229365291672,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,18,0.5,0.0,0,0.0,0,20.0,2,20.0,0,0.09700562698625005,0,0.0,0,0.0,0,20.0,1,20.0,1,0.0,surplus,-0.1,-1.015
2,19,0.5,0.0,1,0.0,0,0.0,1,0.0,0,0.09700562698625005,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-1.0,-1.73
2,20,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.09700562698625005,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-0.591
2,21,0.5,0.0,0,0.0,0,0.0,1,0.0,0,0.09700562698625005,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-0.1,-1.73
2,22,0.5,0.0,1,0.0,0,0.0,1,0.0,0,0.09700562698625005,0,0.0,0,0.0,0,0.0,0,20.0,1,-20.0,deficit,-1.0,-1.73
