episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
469;-1;0,000000;;;0,000000;1;;;0,000000;0;0,481127;0;;;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;surplus;0,000000;0,000000;0,000000;;;;;;
469;0;0,687125;46724,494173;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,481127;0;60853,320327;1,000000;60853,320327;1;58,157460;0;46724,494173;0;0,000000;0;60853,320327;1;60853,320327;1;60853,320327;1;0,000000;0;;1,000000;-1,000000;1,000000;-14128,826154;-0,047096;-1,000000;-60853,320327;-0,202844;-1,000000
469;1;0,687125;54143,858529;1,000000;54143,858529;1;0,000000;0,000000;0,000000;0;0,481127;0;8089,493703;0,000000;0,000000;0;42,286551;0;54143,858529;0;54143,858529;1;54143,858529;1;62233,352232;1;0,000000;0;-8089,493703;0;;-1,000000;-1,000000;-0,500000;-8089,493703;-0,026965;-1,000000;-62233,352232;-0,207445;-1,000000
469;2;0,687125;1330,455238;1,000000;1330,455238;1;33385,921252;2,000000;33385,921252;0;0,479736;0;0,000000;0,000000;0,000000;0;25,466091;0;1330,455238;0;1330,455238;1;34716,376491;1;34716,376491;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;0,200000;-33385,921252;-0,111286;-1,000000;19427,482038;0,064758;1,000000
469;3;0,687125;895,121282;0,000000;0,000000;1;32297,667019;2,000000;32297,667019;0;0,478390;0;0,000000;0,000000;0,000000;0;36,410960;0;895,121282;0;0,000000;0;32297,667019;1;32297,667019;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-31402,545736;-0,104675;-1,000000;-30967,211780;-0,103224;-1,000000
469;4;0,687125;1284,530886;1,000000;1284,530886;1;29821,669584;2,000000;29821,669584;0;0,477147;0;0,000000;1,000000;0,000000;0;22,571640;0;1284,530886;0;1284,530886;1;31106,200470;1;31106,200470;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;-29821,669584;-0,099406;-1,000000;-31106,200470;-0,103687;-1,000000
469;5;0,687125;1391,666903;0,000000;0,000000;1;33574,920102;2,000000;33574,920102;0;0,475748;0;0,000000;0,000000;0,000000;0;23,182111;0;1391,666903;0;0,000000;0;33574,920102;1;33574,920102;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-32183,253199;-0,107278;-1,000000;-32290,389216;-0,107635;-1,000000
469;6;0,687125;1203,083097;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,475748;0;21166,536416;0,000000;0,000000;0;12,752735;0;1203,083097;0;0,000000;0;0,000000;0;21166,536416;1;0,000000;0;-21166,536416;0;;1,000000;-1,000000;-0,500000;-19963,453319;-0,066545;-1,000000;-21166,536416;-0,070555;-1,000000
469;7;0,687125;1672,225377;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,475748;0;30947,568385;1,000000;30947,568385;1;27,406305;0;1672,225377;0;0,000000;0;30947,568385;1;30947,568385;1;30947,568385;1;0,000000;0;;1,000000;-1,000000;1,000000;-29275,343008;-0,097584;-1,000000;-30947,568385;-0,103159;-1,000000
469;8;0,687125;1755,228010;1,000000;1755,228010;1;0,000000;1,000000;0,000000;0;0,475748;0;77080,449537;1,000000;77080,449537;1;47,063481;0;1755,228010;0;1755,228010;1;78835,677547;1;78835,677547;1;77080,449537;1;0,000000;0;;-1,000000;-1,000000;1,000000;-77080,449537;-0,256935;-1,000000;-78835,677547;-0,262786;-1,000000
469;9;0,687125;839,530884;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,475748;0;79558,388072;1,000000;79558,388072;1;54,525268;0;839,530884;0;0,000000;0;79558,388072;1;79558,388072;1;79558,388072;1;0,000000;0;;1,000000;-1,000000;1,000000;-78718,857188;-0,262396;-1,000000;-77803,160062;-0,259344;-1,000000
469;10;0,687125;905,665614;0,000000;0,000000;1;78205,220332;2,000000;78205,220332;0;0,472490;0;0,000000;1,000000;0,000000;0;50,577066;0;905,665614;0;0,000000;0;78205,220332;1;78205,220332;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-77299,554718;-0,257665;-1,000000;-78205,220332;-0,260684;-1,000000
469;11;0,687125;393,677338;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,472490;0;80542,876011;1,000000;80542,876011;1;51,829046;0;393,677338;0;0,000000;0;80542,876011;1;80542,876011;1;80542,876011;1;0,000000;0;;1,000000;-1,000000;1,000000;-80149,198673;-0,267164;-1,000000;-80542,876011;-0,268476;-1,000000
469;12;0,687125;766,162934;1,000000;766,162934;1;0,000000;1,000000;0,000000;0;0,472490;0;54660,268637;0,000000;0,000000;0;38,340523;0;766,162934;0;766,162934;1;766,162934;1;55426,431571;1;0,000000;0;-54660,268637;0;;-1,000000;-1,000000;-0,500000;-54660,268637;-0,182201;-1,000000;-55426,431571;-0,184755;-1,000000
469;13;0,687125;1071,421901;1,000000;1071,421901;1;0,000000;0,000000;0,000000;0;0,472490;0;62023,578249;1,000000;62023,578249;1;41,095547;0;1071,421901;0;1071,421901;1;63095,000150;1;63095,000150;1;62023,578249;1;0,000000;0;;-1,000000;-1,000000;1,000000;-62023,578249;-0,206745;-1,000000;-62328,837216;-0,207763;-1,000000
469;14;0,687125;765,663317;1,000000;765,663317;1;59377,905399;2,000000;59377,905399;0;0,470016;0;0,000000;1,000000;0,000000;1;46,738243;0;765,663317;0;765,663317;1;60143,568716;1;60143,568716;1;0,000000;1;0,000000;0;;-1,000000;-1,000000;-1,000000;-59377,905399;-0,197926;-1,000000;-59072,146815;-0,196907;-1,000000
469;15;0,687125;814,893670;1,000000;814,893670;1;47581,646622;2,000000;47581,646622;0;0,468033;0;0,000000;0,000000;0,000000;0;41,846060;0;814,893670;0;814,893670;1;48396,540292;1;48396,540292;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;0,200000;-47581,646622;-0,158605;-1,000000;-47630,876975;-0,158770;-1,000000
469;16;0,687125;1567,900474;0,000000;0,000000;1;44579,629363;2,000000;44579,629363;0;0,466176;0;0,000000;1,000000;0,000000;0;32,383959;0;1567,900474;0;0,000000;0;44579,629363;1;44579,629363;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-43011,728889;-0,143372;-1,000000;-43764,735694;-0,145882;-1,000000
469;17;0,687125;1453,358711;1,000000;1453,358711;1;49934,021203;2,000000;49934,021203;0;0,464095;0;0,000000;1,000000;0,000000;0;41,135405;0;1453,358711;0;1453,358711;1;51387,379915;1;51387,379915;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;-49934,021203;-0,166447;-1,000000;-51387,379915;-0,171291;-1,000000
469;18;0,687125;1115,810756;1,000000;1115,810756;1;0,000000;0,000000;0,000000;0;0,464095;0;47532,611819;0,000000;0,000000;0;37,799899;0;1115,810756;0;1115,810756;1;1115,810756;1;48648,422575;1;0,000000;0;-47532,611819;0;;-1,000000;-1,000000;-0,500000;-47532,611819;-0,158442;-1,000000;-47195,063863;-0,157317;-1,000000
469;19;0,687125;1283,481944;1,000000;1283,481944;1;43035,296717;2,000000;43035,296717;0;0,462302;0;0,000000;1,000000;0,000000;0;33,709432;0;1283,481944;0;1283,481944;1;44318,778660;1;44318,778660;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;-43035,296717;-0,143451;-1,000000;-43202,967905;-0,144010;-1,000000
469;20;0,687125;443,086099;1,000000;443,086099;1;0,000000;1,000000;0,000000;0;0,462302;0;98488,844822;1,000000;98488,844822;1;85,680276;0;443,086099;0;443,086099;1;98931,930922;1;98931,930922;1;98488,844822;1;0,000000;0;;-1,000000;-1,000000;1,000000;-98488,844822;-0,328296;-1,000000;-97648,448978;-0,325495;-1,000000
469;21;0,687125;1031,571539;1,000000;1031,571539;1;0,000000;1,000000;0,000000;0;0,462302;0;100986,208110;1,000000;100986,208110;1;70,636488;0;1031,571539;0;1031,571539;1;102017,779649;1;102017,779649;1;100986,208110;1;0,000000;0;;-1,000000;-1,000000;1,000000;-100986,208110;-0,336621;-1,000000;-101574,693550;-0,338582;-1,000000
469;22;0,687125;1133,556202;1,000000;1133,556202;1;0,000000;0,000000;0,000000;0;0,462302;0;100535,432585;1,000000;100535,432585;1;74,156416;0;1133,556202;0;1133,556202;1;101668,988787;1;101668,988787;1;100535,432585;1;0,000000;0;;-1,000000;-1,000000;1,000000;-100535,432585;-0,335118;-1,000000;-100637,417248;-0,335458;-1,000000
469;23;0,687125;1208,690421;1,000000;1208,690421;1;100169,757797;2,000000;100169,757797;0;0,458128;0;0,000000;0,000000;0,000000;0;74,604892;0;1208,690421;0;1208,690421;1;101378,448218;1;101378,448218;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;0,200000;-100169,757797;-0,333899;-1,000000;-100244,892015;-0,334150;-1,000000
469;24;0,687125;1127,138312;1,000000;1127,138312;1;0,000000;1,000000;0,000000;0;0,458128;0;57301,397668;1,000000;57301,397668;1;49,362318;0;1127,138312;0;1127,138312;1;58428,535980;1;58428,535980;1;57301,397668;1;0,000000;0;;-1,000000;-1,000000;1,000000;-57301,397668;-0,191005;-1,000000;-57219,845559;-0,190733;-1,000000
469;25;0,687125;465,611070;1,000000;465,611070;1;0,000000;0,000000;0,000000;0;0,458128;0;62162,721548;1,000000;62162,721548;1;50,940427;0;465,611070;0;465,611070;1;62628,332617;1;62628,332617;1;62162,721548;1;0,000000;0;;-1,000000;-1,000000;1,000000;-62162,721548;-0,207209;-1,000000;-61501,194305;-0,205004;-1,000000
469;26;0,687125;65037,377525;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,458128;0;19390,995239;0,000000;0,000000;0;19,192179;0;65037,377525;0;0,000000;0;0,000000;0;19390,995239;1;0,000000;0;-19390,995239;0;;-1,000000;-1,000000;0,200000;45646,382286;0,152155;1,000000;-18925,384170;-0,063085;-1,000000
469;27;0,687125;67374,758368;1,000000;67374,758368;1;0,000000;2,000000;0,000000;0;0,458128;0;0,000000;1,000000;0,000000;0;27,633286;0;67374,758368;0;67374,758368;1;67374,758368;1;18163,247501;1;0,000000;0;49211,510868;1;;1,000000;-1,000000;-1,000000;49211,510868;0,164038;1,000000;-18163,247501;-0,060544;-1,000000
469;28;0,687125;83066,749104;1,000000;83066,749104;1;68066,749104;1,000000;-68066,749104;0;0,460964;0;0,000000;0,000000;0,000000;0;18,493630;0;83066,749104;0;83066,749104;1;83066,749104;1;83066,749104;1;0,000000;0;0,000000;0;;1,000000;0,539036;0,200000;68066,749104;0,226889;1,000000;52374,758368;0,174583;1,000000
469;29;0,687125;47623,978659;1,000000;47623,978659;1;0,000000;0,000000;0,000000;0;0,460964;0;0,000000;0,000000;0,000000;0;22,060177;0;47623,978659;0;47623,978659;1;47623,978659;1;15000,000000;1;0,000000;0;32623,978659;1;;1,000000;-1,000000;0,200000;32623,978659;0,108747;1,000000;68066,749104;0,226889;1,000000
469;30;0,687125;46410,222923;1,000000;46410,222923;1;0,000000;0,000000;0,000000;0;0,460964;0;0,000000;1,000000;0,000000;0;25,417881;0;46410,222923;0;46410,222923;1;46410,222923;1;15020,092523;1;0,000000;0;31390,130400;1;;1,000000;-1,000000;-1,000000;31390,130400;0,104634;1,000000;32603,886136;0,108680;1,000000
469;31;0,687125;19573,612733;1,000000;19573,612733;1;0,000000;0,000000;0,000000;0;0,460964;0;1573,509682;0,000000;0,000000;0;40,308800;0;19573,612733;0;19573,612733;1;19573,612733;1;21147,122416;1;0,000000;0;-1573,509682;0;;1,000000;1,000000;-0,250000;-1573,509682;-0,005245;0,000000;25263,100507;0,084210;1,000000
469;32;0,687125;54960,177809;1,000000;54960,177809;1;18065,347084;1,000000;-18065,347084;0;0,461717;0;0,000000;0,000000;0,000000;0;42,194038;0;54960,177809;0;54960,177809;1;54960,177809;1;54960,177809;1;0,000000;0;0,000000;0;;1,000000;0,538283;0,200000;18065,347084;0,060218;1,000000;-17321,217992;-0,057737;-1,000000
