episode;mean_demand_power;mean_energy_balance;mean_renewable_power;mean_total_power;total_reward_wind;total_reward_battery;total_reward_grid;wind_activation_rate;battery_charge_rate;battery_discharge_rate;grid_import_rate
0;67627,993986;-20547,482968;16855,687800;47080,511018;23,000000;-60,035526;5,000000;0,489583;0,312500;0,322917;0,427083
1;65428,236483;-15991,101847;11541,898569;49437,134636;-3,000000;-93,000000;3,750000;0,552083;0,322917;0,354167;0,458333
10;70191,425974;-14795,735218;20699,369692;55395,690756;-3,000000;-62,327069;11,000000;0,479167;0,354167;0,302083;0,489583
100;59632,633031;-1402,200720;41487,552510;58230,432311;7,000000;-66,257648;-18,250000;0,572917;0,406250;0,270833;0,520833
1000;68353,628437;-11082,716703;45639,001546;57270,911735;71,000000;-19,418043;49,000000;0,583333;0,656250;0,187500;0,208333
1001;65961,979933;-39604,254095;4838,217723;26357,725838;75,000000;-85,972087;49,000000;0,166667;0,708333;0,177083;0,218750
1002;70828,880112;-23524,057029;33562,626281;47304,823084;59,000000;-42,181508;43,000000;0,447917;0,614583;0,187500;0,197917
1003;62028,428374;-32931,906508;7359,628211;29096,521867;67,000000;-66,643366;41,000000;0,250000;0,489583;0,312500;0,218750
1004;74274,167699;-26409,569564;36481,199282;47864,598136;63,000000;-45,785022;57,000000;0,479167;0,697917;0,125000;0,156250
1005;66722,345040;-2601,398950;50179,032053;64120,946090;71,000000;-43,015141;45,000000;0,635417;0,552083;0,291667;0,250000
1006;71842,155973;-18623,578563;39589,157751;53218,577410;69,000000;-39,663550;47,000000;0,500000;0,718750;0,145833;0,218750
1007;61794,869676;3893,323340;36201,849367;65688,193016;67,000000;-38,249801;29,750000;0,458333;0,145833;0,718750;0,281250
1008;59957,381790;-2198,111426;14105,200586;57759,270364;69,000000;-20,898502;59,000000;0,333333;0,083333;0,802083;0,125000
1009;63322,706770;-18716,493904;35872,064828;44606,212865;49,000000;-40,249840;49,000000;0,552083;0,718750;0,125000;0,166667
101;55596,286061;-2382,774588;33219,023777;53213,511473;21,000000;-55,238315;-0,250000;0,541667;0,354167;0,375000;0,458333
1010;69904,331806;-14858,244533;11016,504201;55046,087273;69,000000;-29,290920;51,750000;0,291667;0,187500;0,666667;0,114583
1011;73505,270806;-27653,400637;37743,172873;45851,870169;63,000000;-18,026195;37,750000;0,510417;0,708333;0,072917;0,145833
1012;53676,629830;12631,928409;40504,360941;66308,558239;69,000000;-45,032584;69,000000;0,531250;0,072917;0,875000;0,114583
1013;63342,945772;-31984,530547;17286,559626;31358,415225;65,000000;-69,305863;43,000000;0,333333;0,666667;0,104167;0,208333
1014;66769,288674;-39306,312151;6146,148994;27462,976523;55,000000;-93,083149;23,000000;0,250000;0,385417;0,250000;0,135417
1015;60160,074355;-1,014019;42833,728175;60159,060336;51,000000;-38,154942;53,000000;0,572917;0,385417;0,510417;0,197917
1016;69171,376306;-14111,968121;43344,913357;55059,408185;67,000000;-44,267369;49,000000;0,552083;0,625000;0,218750;0,177083
1017;71003,137265;-34375,950359;5260,937357;36627,186906;57,000000;-56,819425;23,750000;0,229167;0,302083;0,437500;0,187500
