episode,step,epsilon,action_solar#0,power_solar#0,potential_solar#0,idx_solar#0,action_wind#0,power_wind#0,potential_wind#0,idx_wind#0,action_battery#0,power_battery#0,potential_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,action_grid#0,power_grid#0,potential_grid#0,idx_grid#0,action_load#0,power_load#0,potential_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
0,-1,0.0,,0.0,,0,,0.0,,0,,0.0,,3,0.8348421486656494,3,,0.0,,0,,0.0,,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0
0,0,0.01,1.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,46000.0,0,0.0,-21000.0,25000.0,0,2.0,0.0,0,0.0,0,0.0,0,46000.0,2,-46000.0,0,deficit,-0.2777777777777778,0.2777777777777778,-0.06444444444444444,-0.8333333333333334,0.0
0,1,0.01,1.0,0.0,0.0,0,1.0,20840.4465948,20840.4465948,1,0.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,25159.5534052,0,0.0,-21000.0,25000.0,0,2.0,20840.4465948,1,20840.4465948,1,20840.4465948,1,46000.0,2,-25159.5534052,0,deficit,0.0,0.0,-0.0,0.4375,-1.0
0,2,0.01,1.0,0.0,0.0,0,1.0,18783.1351362,18783.1351362,1,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,27216.8648638,0,0.0,-21000.0,25000.0,0,2.0,18783.1351362,1,18783.1351362,1,18783.1351362,1,46000.0,2,-27216.8648638,0,deficit,0.0,0.0,-0.0,0.4375,-1.0
0,3,0.01,1.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,46000.0,0,0.0,-21000.0,25000.0,0,2.0,0.0,0,0.0,0,0.0,0,46000.0,2,-46000.0,0,deficit,-0.2777777777777778,0.2777777777777778,-0.06444444444444444,-0.2708333333333333,-1.0
0,4,0.01,1.0,0.0,0.0,0,1.0,16822.9963523,16822.9963523,1,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,29177.0036477,0,0.0,-21000.0,25000.0,0,2.0,16822.9963523,1,16822.9963523,1,16822.9963523,1,46000.0,2,-29177.0036477,0,deficit,0.0,0.0,-0.0,0.4375,-1.0
0,5,0.01,1.0,0.0,0.0,0,1.0,18016.1016791,18016.1016791,1,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,27983.8983209,0,0.0,-21000.0,25000.0,0,2.0,18016.1016791,1,18016.1016791,1,18016.1016791,1,46000.0,2,-27983.8983209,0,deficit,0.0,0.0,-0.0,0.4375,-1.0
0,6,0.01,1.0,0.0,0.0,0,1.0,20391.6276245,20391.6276245,1,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,25608.3723755,0,0.0,-21000.0,25000.0,0,2.0,20391.6276245,1,20391.6276245,1,20391.6276245,1,46000.0,2,-25608.3723755,0,deficit,0.0,0.0,-0.0,0.4375,-1.0
0,7,0.01,1.0,5966.58046,5966.58046,0,1.0,23660.8421485,23660.8421485,1,1.0,0.0,0.0,3,0.8348421486656494,3,0.0,0.0,16372.577391499999,0,0.0,-21000.0,25000.0,0,2.0,29627.4226085,1,29627.4226085,1,29627.4226085,1,46000.0,2,-16372.577391499999,0,deficit,0.0,0.0,-0.0,0.4375,-1.0
0,8,0.01,1.0,32145.7762933,32145.7762933,1,1.0,29493.131390799997,29493.131390799997,1,1.0,-15638.907684099999,15638.907684099999,3,0.8385445415832867,3,0.0,0.0,0.0,0,0.0,-21000.0,25000.0,0,2.0,61638.9076841,3,61638.9076841,3,61638.9076841,3,61638.9076841,3,0.0,0,surplus,1.0,1.0,0.034999999999999996,0.4375,-1.0
