time,solar,solar_state,solar_discrete,wind,wind_state,wind_discrete,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,renewable,renewable_discrete,total,demand,dif,total_discrete,demand_discrete,price,reward_solar,reward_wind,reward_bat,reward_grid
2019-01-01 00:00:00,0.0,1,0,24.61,0,1,-18.32,0.6127222222222223,1,1,36.64,1,0,24.61,1,18.32,18.32,0.0,0,0,2.0,0.0,-10.0,10.0,-20.0
2019-01-01 01:00:00,0.0,0,0,25.22,0,1,-20.3,0.6268194444444445,1,1,40.6,1,1,25.22,1,20.3,20.3,0.0,0,0,2.0,0.0,-10.0,10.0,-20.0
2019-01-01 02:00:00,0.0,0,0,22.83,1,1,1.759999999999998,0.6255972222222222,1,2,0.0,0,1,22.83,1,24.589999999999996,21.07,3.519999999999996,1,0,2.0,0.0,10.0,-10.0,0.0
2019-01-01 03:00:00,0.0,0,0,26.21,1,1,-5.690000000000001,0.6295486111111112,1,1,0.0,0,0,26.21,1,20.52,20.52,0.0,0,0,2.0,0.0,10.0,10.0,0.0
2019-01-01 04:00:00,0.0,1,0,25.45,1,1,7.329999999999998,0.6244583333333333,1,2,14.659999999999997,1,0,25.45,1,47.44,18.12,29.319999999999997,2,0,2.0,0.0,10.0,-10.0,-20.0
2019-01-01 05:00:00,0.0,1,0,23.71,0,1,-19.32,0.6378750000000001,1,1,0.0,0,1,23.71,1,-19.32,19.32,-38.64,0,0,2.0,0.0,-10.0,10.0,0.0
2019-01-01 06:00:00,3.37,0,0,24.45,1,1,-4.759999999999998,0.6411805555555556,1,1,0.0,0,0,27.82,1,19.69,19.69,0.0,0,0,2.0,0.0,10.0,10.0,0.0
2019-01-01 07:00:00,8.12,0,0,24.27,0,1,-19.07,0.6544236111111112,1,1,38.14,1,0,32.39,1,19.07,19.07,0.0,0,0,2.0,0.0,0.0,0.0,-20.0
2019-01-01 08:00:00,16.68,0,0,23.32,0,1,0.0,0.6544236111111112,1,0,0.0,0,1,40.0,1,0.0,21.38,-21.38,0,1,2.0,0.0,-10.0,0.0,0.0
2019-01-01 09:00:00,29.21,1,1,24.97,0,1,0.0,0.6544236111111112,1,0,0.0,0,0,54.18,2,29.21,18.25,10.96,1,0,2.0,10.0,-10.0,0.0,0.0
2019-01-01 10:00:00,43.57,1,2,19.66,1,0,-42.32000000000001,0.6838125000000002,1,1,0.0,0,0,63.230000000000004,2,20.909999999999997,20.91,-3.552713678800501e-15,0,0,2.0,20.0,0.0,0.0,0.0
2019-01-01 11:00:00,55.39,0,2,21.8,0,1,20.9,0.6692986111111113,2,2,0.0,0,0,77.19,3,20.9,20.9,0.0,0,0,2.0,0.0,0.0,40.0,0.0
2019-01-01 12:00:00,60.0,0,2,18.47,0,0,123.02,0.5838680555555558,2,2,0.0,0,0,78.47,3,123.02,123.02,0.0,5,5,2.0,0.0,0.0,20.0,0.0
2019-01-01 13:00:00,55.39,0,2,16.76,1,0,101.71,0.5132361111111113,1,2,0.0,0,0,72.15,3,118.47,118.47,0.0,5,5,2.0,0.0,-50.0,20.0,0.0
2019-01-01 14:00:00,43.57,0,2,15.03,0,0,126.78,0.42519444444444465,1,2,0.0,0,0,58.6,2,126.78,126.78,0.0,5,5,2.0,0.0,0.0,30.0,0.0
2019-01-01 15:00:00,29.21,1,1,13.63,0,0,79.88999999999999,0.369715277777778,1,2,0.0,0,0,42.84,2,109.1,109.1,0.0,5,5,2.0,-40.0,0.0,30.0,0.0
2019-01-01 16:00:00,16.68,1,0,11.19,0,0,111.45999999999998,0.29231250000000025,1,2,0.0,0,0,27.869999999999997,1,128.14,128.14,0.0,5,5,2.0,-50.0,0.0,-80.0,-20.0
2019-01-01 17:00:00,8.12,0,0,9.78,0,0,0.0,0.29231250000000025,0,0,114.57,1,0,17.9,0,114.57,114.57,0.0,5,5,2.0,0.0,0.0,0.0,5.0
2019-01-01 18:00:00,3.37,1,0,7.79,0,0,116.86,0.21115972222222246,0,2,0.0,1,1,11.16,0,120.23,120.23,0.0,5,5,2.0,-50.0,0.0,-100.0,5.0
2019-01-01 19:00:00,0.0,1,0,6.1,0,0,0.0,0.21115972222222246,0,0,123.27,1,1,6.1,0,123.27,123.27,0.0,5,5,2.0,-50.0,0.0,0.0,5.0
2019-01-01 20:00:00,0.0,0,0,4.84,0,0,0.0,0.21115972222222246,0,0,108.18,1,1,4.84,0,108.18,108.18,0.0,5,5,2.0,0.0,0.0,0.0,5.0
2019-01-01 21:00:00,0.0,0,0,3.21,1,0,-112.93,0.2895833333333336,0,1,0.0,0,1,3.21,0,-109.72000000000001,116.14,-225.86,0,5,2.0,0.0,-50.0,0.0,-20.0
2019-01-01 22:00:00,0.0,0,0,1.55,1,0,0.0,0.2895833333333336,0,0,117.07000000000001,1,0,1.55,0,118.62,118.62,0.0,5,5,2.0,0.0,-50.0,0.0,5.0
