time,solar,solar_state,solar_discrete,wind,wind_state,wind_discrete,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,renewable,renewable_discrete,total,demand,dif,total_discrete,demand_discrete,price,reward_solar,reward_wind,reward_bat,reward_grid,reward_demand
2019-01-01 00:00:00,0.0,0,0,24.61,1,1,6.289999999999999,0.5956319444444444,1,2,0.0,0,0,24.61,1,30.9,18.32,12.579999999999998,1,0,2.0,0.0,10.0,-10.0,0.0,10
2019-01-01 01:00:00,0.0,0,0,25.22,1,1,0.0,0.5956319444444444,1,0,0.0,0,0,25.22,1,25.22,20.3,4.919999999999998,1,0,2.0,0.0,10.0,0.0,0.0,10
2019-01-01 02:00:00,0.0,0,0,22.83,1,1,-1.759999999999998,0.5968541666666667,1,1,0.0,0,0,22.83,1,6.07,6.07,0.0,0,0,2.0,0.0,10.0,10.0,0.0,-10
2019-01-01 03:00:00,0.0,0,0,26.21,1,1,5.690000000000001,0.5929027777777778,1,2,0.0,0,0,26.21,1,16.900000000000002,5.52,11.380000000000003,0,0,2.0,0.0,10.0,-10.0,0.0,-10
2019-01-01 04:00:00,0.0,0,0,25.45,1,1,-7.329999999999998,0.5979930555555556,1,1,0.0,1,0,25.45,1,18.12,18.12,0.0,0,0,2.0,0.0,10.0,10.0,-20.0,10
2019-01-01 05:00:00,0.0,0,0,23.71,1,1,-4.390000000000001,0.6010416666666667,1,1,0.0,0,1,23.71,1,19.32,19.32,0.0,0,0,2.0,0.0,10.0,10.0,0.0,10
2019-01-01 06:00:00,3.37,0,0,24.45,1,1,-4.759999999999998,0.6043472222222223,1,1,0.0,0,0,27.82,1,19.69,19.69,0.0,0,0,2.0,0.0,10.0,10.0,0.0,10
2019-01-01 07:00:00,8.12,0,0,24.27,1,1,-5.199999999999999,0.6079583333333335,1,1,0.0,0,0,32.39,1,19.07,19.07,0.0,0,0,2.0,0.0,0.0,0.0,0.0,10
2019-01-01 08:00:00,16.68,1,0,23.32,1,1,0.0,0.6079583333333335,1,0,18.62,1,0,40.0,1,58.620000000000005,21.38,37.24000000000001,2,1,2.0,0.0,10.0,0.0,-20.0,10
2019-01-01 09:00:00,29.21,0,1,24.97,0,1,18.25,0.5952847222222224,1,2,0.0,0,1,54.18,2,18.25,18.25,0.0,0,0,2.0,-10.0,-10.0,-20.0,0.0,10
2019-01-01 10:00:00,43.57,1,2,19.66,0,0,-22.66,0.6110208333333335,1,1,0.0,0,0,63.230000000000004,2,5.91,5.91,0.0,0,0,2.0,20.0,0.0,20.0,0.0,-10
2019-01-01 11:00:00,55.39,1,2,21.8,0,1,0.0,0.6110208333333335,1,0,0.0,0,0,77.19,3,55.39,20.9,34.49,2,0,2.0,-30.0,0.0,-20.0,0.0,10
2019-01-01 12:00:00,60.0,0,2,18.47,0,0,123.02,0.525590277777778,1,2,0.0,0,0,78.47,3,123.02,123.02,0.0,5,5,2.0,0.0,0.0,20.0,0.0,10
2019-01-01 13:00:00,55.39,0,2,16.76,0,0,-118.47,0.6078611111111114,1,1,0.0,0,0,72.15,3,-118.47,118.47,-236.94,0,5,2.0,0.0,0.0,-20.0,0.0,10
2019-01-01 14:00:00,43.57,0,2,15.03,0,0,126.78,0.5198194444444447,1,2,0.0,0,0,58.6,2,126.78,126.78,0.0,5,5,2.0,0.0,0.0,30.0,0.0,10
2019-01-01 15:00:00,29.21,0,1,13.63,0,0,109.1,0.4440555555555558,1,2,0.0,0,0,42.84,2,109.1,109.1,0.0,5,5,2.0,0.0,0.0,30.0,0.0,10
2019-01-01 16:00:00,16.68,1,0,11.19,1,0,-100.26999999999998,0.5136875000000003,1,1,0.0,0,0,27.869999999999997,1,-87.39999999999998,113.13999999999999,-200.53999999999996,0,5,2.0,-50.0,-50.0,-40.0,0.0,-10
2019-01-01 17:00:00,8.12,0,0,9.78,0,0,114.57,0.4341250000000002,1,2,0.0,0,0,17.9,0,114.57,114.57,0.0,5,5,9.7490802377,0.0,0.0,50.0,0.0,10
2019-01-01 18:00:00,3.37,0,0,7.79,1,0,112.44,0.35604166666666687,1,2,0.0,1,0,11.16,0,120.23,120.23,0.0,5,5,10.9014286128,0.0,-50.0,50.0,-104.639878836,10
2019-01-01 19:00:00,0.0,0,0,6.1,0,0,123.27,0.2704375000000002,1,2,0.0,1,1,6.1,0,123.27,123.27,0.0,5,5,10.4639878836,0.0,0.0,-100.0,0.9806501093364602,-10
2019-01-01 20:00:00,0.0,1,0,4.84,0,0,0.0,0.2704375000000002,0,0,108.18,1,1,4.84,0,108.18,108.18,0.0,5,5,10.1973169684,-50.0,0.0,0.0,1.0738788622024835,-10
2019-01-01 21:00:00,0.0,0,0,3.21,1,0,0.0,0.2704375000000002,0,0,112.93,1,1,3.21,0,116.14,116.14,0.0,5,5,9.3120372809,0.0,-50.0,0.0,1.073884425367438,-10
2019-01-01 22:00:00,0.0,0,0,1.55,0,0,-118.62,0.3528125000000002,0,1,237.24,1,1,1.55,0,118.62,118.62,0.0,5,5,9.3119890407,0.0,0.0,-50.0,-91.161672243,10
