episode;wind#0;battery#0;grid#0
0;-9,000000;-80,860663;-4,000000
1;17,000000;-51,221970;-8,250000
2;-3,000000;-80,756865;-0,250000
3;15,000000;-86,696480;9,750000
4;-1,000000;-62,599078;-5,500000
5;-13,000000;-52,343027;12,500000
6;5,000000;-64,435077;-10,750000
7;3,000000;-65,567480;-6,250000
8;7,000000;-82,002070;9,750000
9;11,000000;-74,642853;-13,000000
10;-7,000000;-73,884911;4,500000
11;-13,000000;-86,712293;-2,250000
12;5,000000;-61,803928;-3,250000
13;15,000000;-68,378455;-2,250000
14;-3,000000;-69,491311;1,750000
15;27,000000;-85,776029;7,000000
16;-1,000000;-62,930941;-4,750000
17;7,000000;-86,341358;-1,500000
18;-1,000000;-87,000000;-8,000000
19;15,000000;-91,000000;-5,500000
20;3,000000;-65,016096;-8,250000
21;-7,000000;-72,057675;-4,750000
22;11,000000;-87,427704;3,250000
23;-11,000000;-75,527135;6,500000
24;3,000000;-83,171378;-5,500000
25;17,000000;-66,417279;2,500000
26;-15,000000;-73,335368;7,000000
27;13,000000;-70,470545;-13,000000
28;-7,000000;-84,234224;-1,000000
29;15,000000;-87,450412;9,250000
30;11,000000;-87,170397;23,000000
31;19,000000;-62,087648;0,500000
32;19,000000;-90,336258;-7,000000
33;5,000000;-85,428961;-10,250000
34;7,000000;-59,871581;-5,500000
35;-1,000000;-80,776824;-12,250000
36;5,000000;-76,526029;-0,750000
37;-1,000000;-56,900430;-8,750000
38;21,000000;-91,000000;-7,500000
39;-13,000000;-81,914752;-4,250000
40;19,000000;-78,964505;15,750000
41;13,000000;-65,691220;27,250000
42;-9,000000;-68,846350;1,000000
43;15,000000;-86,458752;-3,500000
44;25,000000;-60,644370;0,000000
45;17,000000;-64,734499;-11,500000
46;3,000000;-84,218090;9,000000
47;7,000000;-91,000000;12,500000
48;15,000000;-70,450998;7,250000
49;21,000000;-89,939139;-4,250000
50;9,000000;-69,666617;-4,250000
51;3,000000;-90,231889;1,000000
52;-3,000000;-66,711056;21,750000
53;31,000000;-63,177623;3,250000
54;21,000000;-70,187371;9,750000
55;-1,000000;-55,180049;-7,500000
56;-9,000000;-89,000000;7,250000
57;19,000000;-49,797156;8,750000
58;9,000000;-65,049270;-9,500000
59;3,000000;-83,703375;-20,250000
60;9,000000;-93,408367;-1,000000
61;21,000000;-74,256378;14,750000
62;21,000000;-89,000000;-2,750000
63;3,000000;-65,729437;11,250000
64;23,000000;-85,387653;2,000000
65;-1,000000;-83,799256;7,750000
66;15,000000;-72,666926;-5,500000
67;1,000000;-85,828601;1,250000
68;-1,000000;-87,431022;-6,750000
69;5,000000;-54,923607;10,000000
70;15,000000;-76,862733;4,500000
71;23,000000;-64,936700;16,750000
72;15,000000;-70,632128;18,500000
73;9,000000;-76,104646;-2,250000
74;3,000000;-53,182016;3,750000
75;-15,000000;-86,263821;-1,500000
