2025-11-26 15:52:49 | INFO | Episode 1/3000 completed | epsilon=1.000
2025-11-26 15:52:49 | INFO | Episode 2/3000 completed | epsilon=1.000
2025-11-26 15:52:49 | INFO | Episode 3/3000 completed | epsilon=0.999
2025-11-26 15:52:49 | INFO | Episode 4/3000 completed | epsilon=0.999
2025-11-26 15:52:49 | INFO | Episode 5/3000 completed | epsilon=0.999
2025-11-26 15:52:49 | INFO | Episode 6/3000 completed | epsilon=0.998
2025-11-26 15:52:49 | INFO | Episode 7/3000 completed | epsilon=0.998
2025-11-26 15:52:49 | INFO | Episode 8/3000 completed | epsilon=0.998
2025-11-26 15:52:49 | INFO | Episode 9/3000 completed | epsilon=0.997
2025-11-26 15:52:49 | INFO | Episode 10/3000 completed | epsilon=0.997
2025-11-26 15:52:49 | INFO | Episode 11/3000 completed | epsilon=0.997
2025-11-26 15:52:49 | INFO | Episode 12/3000 completed | epsilon=0.996
2025-11-26 15:52:49 | INFO | Episode 13/3000 completed | epsilon=0.996
2025-11-26 15:52:49 | INFO | Episode 14/3000 completed | epsilon=0.996
2025-11-26 15:52:49 | INFO | Episode 15/3000 completed | epsilon=0.995
2025-11-26 15:52:49 | INFO | Episode 16/3000 completed | epsilon=0.995
2025-11-26 15:52:49 | INFO | Episode 17/3000 completed | epsilon=0.995
2025-11-26 15:52:49 | INFO | Episode 18/3000 completed | epsilon=0.994
2025-11-26 15:52:49 | INFO | Episode 19/3000 completed | epsilon=0.994
2025-11-26 15:52:49 | INFO | Episode 20/3000 completed | epsilon=0.994
2025-11-26 15:52:49 | INFO | Episode 21/3000 completed | epsilon=0.993
2025-11-26 15:52:49 | INFO | Episode 22/3000 completed | epsilon=0.993
2025-11-26 15:52:49 | INFO | Episode 23/3000 completed | epsilon=0.993
2025-11-26 15:52:49 | INFO | Episode 24/3000 completed | epsilon=0.992
2025-11-26 15:52:49 | INFO | Episode 25/3000 completed | epsilon=0.992
2025-11-26 15:52:49 | INFO | Episode 26/3000 completed | epsilon=0.992
2025-11-26 15:52:49 | INFO | Episode 27/3000 completed | epsilon=0.991
2025-11-26 15:52:50 | INFO | Episode 28/3000 completed | epsilon=0.991
2025-11-26 15:52:50 | INFO | Episode 29/3000 completed | epsilon=0.991
2025-11-26 15:52:50 | INFO | Episode 30/3000 completed | epsilon=0.990
2025-11-26 15:52:50 | INFO | Episode 31/3000 completed | epsilon=0.990
2025-11-26 15:52:50 | INFO | Episode 32/3000 completed | epsilon=0.990
2025-11-26 15:52:50 | INFO | Episode 33/3000 completed | epsilon=0.989
2025-11-26 15:52:50 | INFO | Episode 34/3000 completed | epsilon=0.989
2025-11-26 15:52:50 | INFO | Episode 35/3000 completed | epsilon=0.989
2025-11-26 15:52:50 | INFO | Episode 36/3000 completed | epsilon=0.988
2025-11-26 15:52:50 | INFO | Episode 37/3000 completed | epsilon=0.988
2025-11-26 15:52:50 | INFO | Episode 38/3000 completed | epsilon=0.988
2025-11-26 15:52:50 | INFO | Episode 39/3000 completed | epsilon=0.987
2025-11-26 15:52:50 | INFO | Episode 40/3000 completed | epsilon=0.987
2025-11-26 15:52:50 | INFO | Episode 41/3000 completed | epsilon=0.987
2025-11-26 15:52:50 | INFO | Episode 42/3000 completed | epsilon=0.986
2025-11-26 15:52:50 | INFO | Episode 43/3000 completed | epsilon=0.986
2025-11-26 15:52:50 | INFO | Episode 44/3000 completed | epsilon=0.986
2025-11-26 15:52:50 | INFO | Episode 45/3000 completed | epsilon=0.985
2025-11-26 15:52:50 | INFO | Episode 46/3000 completed | epsilon=0.985
2025-11-26 15:52:50 | INFO | Episode 47/3000 completed | epsilon=0.985
2025-11-26 15:52:50 | INFO | Episode 48/3000 completed | epsilon=0.984
2025-11-26 15:52:50 | INFO | Episode 49/3000 completed | epsilon=0.984
2025-11-26 15:52:50 | INFO | Episode 50/3000 completed | epsilon=0.984
2025-11-26 15:52:50 | INFO | Episode 51/3000 completed | epsilon=0.983
2025-11-26 15:52:50 | INFO | Episode 52/3000 completed | epsilon=0.983
2025-11-26 15:52:50 | INFO | Episode 53/3000 completed | epsilon=0.983
2025-11-26 15:52:50 | INFO | Episode 54/3000 completed | epsilon=0.982
2025-11-26 15:52:50 | INFO | Episode 55/3000 completed | epsilon=0.982
2025-11-26 15:52:50 | INFO | Episode 56/3000 completed | epsilon=0.982
2025-11-26 15:52:50 | INFO | Episode 57/3000 completed | epsilon=0.981
2025-11-26 15:52:50 | INFO | Episode 58/3000 completed | epsilon=0.981
2025-11-26 15:52:50 | INFO | Episode 59/3000 completed | epsilon=0.981
2025-11-26 15:52:50 | INFO | Episode 60/3000 completed | epsilon=0.980
2025-11-26 15:52:50 | INFO | Episode 61/3000 completed | epsilon=0.980
2025-11-26 15:52:50 | INFO | Episode 62/3000 completed | epsilon=0.980
2025-11-26 15:52:50 | INFO | Episode 63/3000 completed | epsilon=0.979
2025-11-26 15:52:50 | INFO | Episode 64/3000 completed | epsilon=0.979
2025-11-26 15:52:50 | INFO | Episode 65/3000 completed | epsilon=0.979
2025-11-26 15:52:50 | INFO | Episode 66/3000 completed | epsilon=0.978
2025-11-26 15:52:50 | INFO | Episode 67/3000 completed | epsilon=0.978
2025-11-26 15:52:50 | INFO | Episode 68/3000 completed | epsilon=0.978
2025-11-26 15:52:50 | INFO | Episode 69/3000 completed | epsilon=0.977
2025-11-26 15:52:50 | INFO | Episode 70/3000 completed | epsilon=0.977
2025-11-26 15:52:50 | INFO | Episode 71/3000 completed | epsilon=0.977
2025-11-26 15:52:50 | INFO | Episode 72/3000 completed | epsilon=0.976
2025-11-26 15:52:50 | INFO | Episode 73/3000 completed | epsilon=0.976
2025-11-26 15:52:50 | INFO | Episode 74/3000 completed | epsilon=0.976
2025-11-26 15:52:50 | INFO | Episode 75/3000 completed | epsilon=0.975
2025-11-26 15:52:50 | INFO | Episode 76/3000 completed | epsilon=0.975
2025-11-26 15:52:50 | INFO | Episode 77/3000 completed | epsilon=0.975
2025-11-26 15:52:50 | INFO | Episode 78/3000 completed | epsilon=0.974
2025-11-26 15:52:50 | INFO | Episode 79/3000 completed | epsilon=0.974
2025-11-26 15:52:50 | INFO | Episode 80/3000 completed | epsilon=0.974
2025-11-26 15:52:50 | INFO | Episode 81/3000 completed | epsilon=0.973
2025-11-26 15:52:50 | INFO | Episode 82/3000 completed | epsilon=0.973
2025-11-26 15:52:50 | INFO | Episode 83/3000 completed | epsilon=0.973
2025-11-26 15:52:50 | INFO | Episode 84/3000 completed | epsilon=0.972
2025-11-26 15:52:50 | INFO | Episode 85/3000 completed | epsilon=0.972
2025-11-26 15:52:50 | INFO | Episode 86/3000 completed | epsilon=0.972
2025-11-26 15:52:50 | INFO | Episode 87/3000 completed | epsilon=0.971
2025-11-26 15:52:50 | INFO | Episode 88/3000 completed | epsilon=0.971
2025-11-26 15:52:50 | INFO | Episode 89/3000 completed | epsilon=0.971
2025-11-26 15:52:50 | INFO | Episode 90/3000 completed | epsilon=0.970
2025-11-26 15:52:50 | INFO | Episode 91/3000 completed | epsilon=0.970
2025-11-26 15:52:50 | INFO | Episode 92/3000 completed | epsilon=0.970
2025-11-26 15:52:50 | INFO | Episode 93/3000 completed | epsilon=0.969
2025-11-26 15:52:50 | INFO | Episode 94/3000 completed | epsilon=0.969
2025-11-26 15:52:50 | INFO | Episode 95/3000 completed | epsilon=0.969
2025-11-26 15:52:50 | INFO | Episode 96/3000 completed | epsilon=0.968
2025-11-26 15:52:50 | INFO | Episode 97/3000 completed | epsilon=0.968
2025-11-26 15:52:50 | INFO | Episode 98/3000 completed | epsilon=0.968
2025-11-26 15:52:50 | INFO | Episode 99/3000 completed | epsilon=0.967
2025-11-26 15:52:50 | INFO | Episode 100/3000 completed | epsilon=0.967
2025-11-26 15:52:50 | INFO | Episode 101/3000 completed | epsilon=0.967
2025-11-26 15:52:50 | INFO | Episode 102/3000 completed | epsilon=0.966
2025-11-26 15:52:50 | INFO | Episode 103/3000 completed | epsilon=0.966
2025-11-26 15:52:50 | INFO | Episode 104/3000 completed | epsilon=0.966
2025-11-26 15:52:50 | INFO | Episode 105/3000 completed | epsilon=0.965
