episode;delta_v
0;1,506493
1;0,508356
2;1,310220
3;0,961744
4;1,161889
5;1,076778
6;0,793527
7;0,800868
8;0,934246
9;0,956049
10;0,968580
11;0,671868
12;0,851140
13;0,875786
14;0,819986
15;0,895359
16;1,084346
17;1,472377
18;1,043496
19;0,921223
20;0,865346
21;0,823970
22;0,695289
23;0,708723
24;0,956251
25;0,948844
26;0,655750
27;0,644599
28;0,727830
29;0,796001
30;0,678471
31;0,969663
32;0,911719
33;0,735280
34;0,702776
35;0,907569
36;0,829874
37;0,696825
38;1,704730
39;0,748137
40;0,440589
41;0,840180
42;0,464789
43;1,053694
44;0,812159
45;0,540698
46;0,771863
47;1,132075
48;1,047655
49;0,919846
50;0,879587
51;0,875672
52;0,527433
53;0,562969
54;0,651381
55;0,965755
56;0,891679
57;0,867751
58;0,558016
59;0,511224
60;1,117513
61;0,477945
62;0,741045
63;0,623050
64;0,704127
65;1,379278
66;0,497516
67;0,986590
68;0,818970
69;0,750438
70;1,211411
71;0,509897
72;1,079521
73;0,456366
74;0,956564
75;1,328397
76;0,474900
77;0,914063
78;0,676514
79;0,896846
80;1,043289
81;0,738927
82;0,781932
83;0,776709
84;0,682314
85;0,547348
86;1,168339
87;1,035998
88;0,587187
89;1,135058
90;0,967909
91;0,687400
92;0,662469
93;1,014127
94;0,692006
95;0,382177
96;0,653293
97;0,662919
98;0,352791
99;0,666292
100;0,612199
101;1,081792
102;0,552877
103;1,400429
104;0,450229
105;1,061855
106;0,543717
107;0,850083
108;0,639161
109;0,956880
110;0,620863
111;0,958698
112;0,756571
113;0,771058
114;0,715703
115;0,961461
116;0,675225
117;0,951628
118;0,830990
119;1,131937
120;0,514452
121;0,910670
122;0,708508
123;0,791808
124;0,633894
125;0,862263
126;0,557443
127;0,926331
128;0,635146
129;0,746799
130;0,810965
131;0,683591
132;0,487703
133;0,954555
134;1,064843
135;0,752322
136;0,471076
137;0,930258
138;0,988167
139;1,182788
140;1,102036
141;1,089670
142;0,862859
143;0,757680
144;1,371781
145;1,149559
146;0,522531
147;1,284144
148;0,641480
149;0,825114
150;0,764865
151;0,841792
152;0,913702
153;0,861170
154;1,331530
155;0,751524
156;0,506793
157;1,431350
158;0,644643
159;0,925630
160;0,667506
161;0,954407
162;1,185141
163;0,803397
164;0,882876
165;1,010186
166;0,822460
167;0,567027
168;0,861136
169;0,988569
170;1,119276
171;0,886377
172;1,105002
173;0,644768
174;0,689090
175;0,477770
176;1,095835
177;1,276491
178;0,857038
179;1,059315
180;0,523375
181;0,874977
182;1,077199
183;0,973192
184;0,568794
185;1,575357
186;0,860948
187;0,812811
188;0,844585
189;0,675168
190;0,971654
191;0,834119
192;0,769420
193;0,537548
194;0,738908
195;1,004992
196;1,058661
197;0,985668
198;0,707566
199;1,211895
200;0,537045
201;0,611444
202;0,856191
203;0,678340
204;0,840483
205;0,810220
206;1,131954
207;0,499060
208;0,739416
209;1,075847
210;0,864700
211;0,411093
212;0,789517
213;0,880437
214;0,725502
215;0,912663
216;0,646931
217;0,939514
218;0,723013
219;0,525568
220;0,817335
221;0,703374
222;0,518967
223;0,919049
224;1,069885
225;0,609210
226;0,884526
227;1,279728
228;1,151973
229;0,736871
230;0,872217
231;0,621376
232;0,632787
233;1,054261
234;0,955322
235;0,883436
236;0,780910
237;0,773325
238;0,565501
239;0,627305
240;0,699784
241;0,950249
242;0,510137
243;0,955664
244;0,903028
245;0,563534
246;0,772676
247;0,682981
248;1,003107
249;0,870380
250;1,290797
251;0,988364
252;0,603079
253;0,596037
254;0,656611
255;1,069606
256;1,063927
257;0,774360
258;1,024042
259;0,948055
260;1,080394
261;0,855465
262;0,473309
263;1,274154
264;0,683670
265;1,096816
266;0,869762
267;0,672264
268;1,460577
269;0,987415
270;1,164040
271;0,954880
272;0,562266
273;0,663266
274;1,155550
275;0,776561
276;0,795444
277;0,556475
278;0,546146
279;0,549396
280;0,645136
281;0,532331
282;0,499568
283;0,555157
284;0,695681
285;1,129412
286;0,620508
287;1,193326
288;0,973112
289;0,746568
290;1,308085
291;0,536550
292;0,505606
293;1,066770
294;0,878524
295;1,001782
296;0,626389
297;0,743803
298;0,889905
299;0,429831
300;0,767414
301;0,645311
302;0,805868
303;1,333636
304;1,028273
305;0,786798
306;0,689520
307;0,966882
308;0,544980
309;0,779855
310;0,782362
311;1,505201
312;0,955529
313;0,981886
314;0,708326
315;0,999574
