episode;consensus_deviation
0;1,361711
1;1,993114
2;2,449770
3;2,970400
4;3,547901
5;4,117120
6;4,518950
7;4,979390
8;5,314278
9;5,560488
10;5,761721
11;5,831361
12;6,079818
13;6,458467
14;7,041477
15;6,953990
16;7,297219
17;7,568507
18;7,526718
19;7,723563
20;7,967900
21;8,031778
22;8,112416
23;8,284175
24;8,349621
25;8,508524
26;8,567478
27;8,688799
28;8,662782
29;8,812166
30;8,849067
31;8,967613
32;9,091316
33;9,054359
34;9,047321
35;9,209820
36;9,222838
37;9,263468
38;9,424048
39;9,534241
40;9,663388
41;9,753348
42;9,809781
43;9,870658
44;10,087196
45;10,102227
46;10,170146
47;10,117019
48;10,355305
49;10,231839
50;10,431862
51;10,588347
52;10,565462
53;10,591716
54;10,566987
55;10,516514
56;10,693692
57;10,861447
58;10,852519
59;10,868323
60;10,803761
61;10,885289
62;10,911631
63;11,041419
64;11,133554
65;11,213991
66;11,063426
67;11,005781
68;11,278024
69;11,338063
70;11,327056
71;11,184980
72;11,260496
73;11,237079
74;11,183861
75;11,362714
76;11,555451
77;11,604468
78;11,651239
79;11,683450
80;11,639230
81;11,733207
82;11,716495
83;11,582762
84;11,588295
85;11,533484
86;11,540111
87;11,402243
88;11,548343
89;11,473867
90;11,606160
91;11,703322
92;11,706819
93;11,673424
94;11,599960
95;11,540436
96;11,586970
97;11,594047
98;11,591741
99;11,630302
100;11,699871
101;11,640564
102;11,778634
103;11,705314
104;11,803963
105;11,804058
106;11,876454
107;11,892023
108;11,783830
109;11,875998
110;11,868119
111;11,922870
112;11,965878
113;11,859183
114;11,878282
115;11,841583
116;11,857611
117;11,876039
118;11,749137
119;11,839407
120;11,921914
121;11,877810
122;11,796031
123;11,826063
124;11,880869
125;11,917453
126;12,024834
127;11,973512
128;11,908286
129;11,913013
130;11,930108
131;12,021003
132;12,007214
133;12,000544
134;11,966289
135;12,043725
136;12,001059
137;11,957919
138;12,025805
139;11,838988
140;11,866192
141;11,959132
142;11,931317
143;11,872070
144;12,021847
145;12,125566
146;12,030752
147;12,009248
148;12,207364
149;12,288837
150;12,512529
151;12,567744
152;12,514705
153;12,711704
154;12,605830
155;12,390921
156;12,330153
157;12,243518
158;12,418035
159;12,421666
160;12,374463
161;12,394714
162;12,566871
163;12,433173
164;12,353612
165;12,356350
166;12,488725
167;12,711104
168;12,812809
169;12,819433
170;12,773770
171;12,939314
172;12,817920
173;12,717594
174;12,706743
