episode;max_abs_e;p95_abs_e;time_in_band_ratio;epsilon_band_w
0;114799,199161;89343,122037;0,694737;3000,000000
1;116067,223869;85808,992569;0,673684;3000,000000
2;108399,147697;73671,549579;0,610526;3000,000000
3;110184,412712;68865,149685;0,578947;3000,000000
4;102029,009315;81921,714503;0,568421;3000,000000
5;118124,825324;80513,111015;0,694737;3000,000000
6;88229,663497;61621,471592;0,621053;3000,000000
7;91196,992859;55496,375442;0,589474;3000,000000
8;102904,125380;89331,730650;0,578947;3000,000000
9;111902,236784;83621,919549;0,663158;3000,000000
10;90703,044404;59265,482619;0,610526;3000,000000
11;120000,000000;98230,054938;0,589474;3000,000000
12;98352,014274;73820,978523;0,621053;3000,000000
13;92507,980226;70321,971923;0,494737;3000,000000
14;119729,616548;81670,199572;0,705263;3000,000000
15;120000,000000;91066,491734;0,631579;3000,000000
16;109367,103975;82357,945143;0,726316;3000,000000
17;120000,000000;95470,006923;0,673684;3000,000000
18;93902,423932;68329,486988;0,673684;3000,000000
19;114054,448181;81229,592907;0,673684;3000,000000
20;102166,208273;53162,244619;0,694737;3000,000000
21;120000,000000;83716,039425;0,557895;3000,000000
22;89215,269034;72960,883745;0,663158;3000,000000
23;120000,000000;87757,903516;0,557895;3000,000000
24;105457,391461;81113,281453;0,684211;3000,000000
25;112608,976484;85797,140968;0,621053;3000,000000
26;90471,122582;82894,820881;0,663158;3000,000000
27;103322,988985;65384,242847;0,600000;3000,000000
28;110006,527069;71354,631920;0,652632;3000,000000
29;114548,407045;75531,047229;0,578947;3000,000000
30;120000,000000;94273,437685;0,631579;3000,000000
31;94131,662561;55828,025922;0,694737;3000,000000
32;120000,000000;70719,843702;0,715789;3000,000000
33;120000,000000;96216,281329;0,715789;3000,000000
34;110985,379324;82624,884902;0,663158;3000,000000
35;120000,000000;99507,089171;0,642105;3000,000000
36;78735,973248;57859,897988;0,578947;3000,000000
37;94567,626737;73779,567811;0,589474;3000,000000
38;102451,018595;78531,721515;0,536842;3000,000000
39;117393,662365;83807,693136;0,684211;3000,000000
40;101901,053414;79396,051368;0,610526;3000,000000
41;116165,901066;85179,850867;0,547368;3000,000000
42;120000,000000;97944,830236;0,631579;3000,000000
43;101935,260725;77975,559212;0,578947;3000,000000
44;119793,836280;86243,368213;0,684211;3000,000000
45;120000,000000;99370,098428;0,600000;3000,000000
46;91568,497868;69560,349692;0,557895;3000,000000
47;120000,000000;99342,498924;0,631579;3000,000000
48;120000,000000;82423,695250;0,589474;3000,000000
49;97011,907843;51125,652238;0,621053;3000,000000
50;112740,689964;61327,799863;0,726316;3000,000000
51;91550,522136;63190,467110;0,631579;3000,000000
52;118635,043049;94688,016319;0,684211;3000,000000
53;120000,000000;83138,881756;0,631579;3000,000000
54;109271,659151;65800,131001;0,568421;3000,000000
55;120000,000000;105254,064478;0,631579;3000,000000
56;101265,420483;87363,737081;0,578947;3000,000000
57;120000,000000;92307,142093;0,631579;3000,000000
58;109067,809371;85054,935537;0,578947;3000,000000
59;120000,000000;86170,136707;0,673684;3000,000000
60;87273,392292;68081,126778;0,547368;3000,000000
61;120000,000000;83960,209666;0,652632;3000,000000
62;117583,360032;72989,361277;0,547368;3000,000000
63;120000,000000;91378,774211;0,768421;3000,000000
64;94748,539149;70942,955700;0,505263;3000,000000
65;113103,718143;72494,122790;0,610526;3000,000000
66;97623,685304;80925,927998;0,621053;3000,000000
67;120000,000000;89609,362018;0,673684;3000,000000
68;120000,000000;95646,579363;0,694737;3000,000000
69;97041,208393;83466,203190;0,589474;3000,000000
70;120000,000000;92752,076174;0,673684;3000,000000
71;106528,412857;70577,469800;0,705263;3000,000000
72;93333,261108;71795,661230;0,494737;3000,000000
73;113103,718143;83793,014640;0,578947;3000,000000
74;109154,815160;77253,193095;0,610526;3000,000000
75;95102,822821;74449,844678;0,610526;3000,000000
76;106412,938971;71657,625899;0,547368;3000,000000
77;105893,426387;75806,592948;0,578947;3000,000000
78;108269,204364;85199,489708;0,557895;3000,000000
79;84852,258714;70314,503120;0,621053;3000,000000
80;108556,759498;84343,110931;0,642105;3000,000000
81;98393,185988;76674,445928;0,621053;3000,000000
82;119390,436484;85020,590596;0,684211;3000,000000
83;119781,768623;88216,149375;0,663158;3000,000000
84;120000,000000;111041,024209;0,610526;3000,000000
85;86064,425742;63087,454922;0,631579;3000,000000
86;120000,000000;61998,902258;0,694737;3000,000000
87;100500,289259;74864,744785;0,578947;3000,000000
88;120000,000000;96965,985227;0,652632;3000,000000
89;120000,000000;81446,529164;0,642105;3000,000000
90;117156,148162;80817,170032;0,642105;3000,000000
91;112608,976484;80900,466101;0,631579;3000,000000
92;113721,999673;72117,080708;0,505263;3000,000000
93;106412,938971;75568,508200;0,663158;3000,000000
94;107425,261765;83112,874392;0,600000;3000,000000
95;74121,529692;53785,990753;0,705263;3000,000000
96;108308,589905;99039,984190;0,600000;3000,000000
97;114053,853539;70664,229420;0,673684;3000,000000
98;92624,911752;68880,461149;0,536842;3000,000000
99;104948,892657;72388,981408;0,673684;3000,000000
100;104724,504028;84743,418073;0,726316;3000,000000
101;120000,000000;93757,928198;0,652632;3000,000000
102;101571,157390;77147,850956;0,642105;3000,000000
103;119726,915551;89382,362379;0,663158;3000,000000
104;120000,000000;119159,549068;0,705263;3000,000000
105;97361,666289;69075,647672;0,568421;3000,000000
106;104145,424122;74181,610792;0,568421;3000,000000
107;107404,385893;78733,250462;0,652632;3000,000000
108;100982,321438;77021,323248;0,536842;3000,000000
109;95794,717734;80003,274296;0,589474;3000,000000
110;104056,884268;81443,342328;0,652632;3000,000000
