episode;num_events;num_recovered;recovered_ratio;mean_recovery_time_steps;median_recovery_time_steps;mean_recovery_time_hours;median_recovery_time_hours
0;24,000000;20,000000;0,833333;11,200000;11,000000;11,200000;11,000000
1;21,000000;12,000000;0,571429;12,583333;12,500000;12,583333;12,500000
2;23,000000;8,000000;0,347826;14,500000;13,000000;14,500000;13,000000
3;23,000000;20,000000;0,869565;19,750000;20,000000;19,750000;20,000000
4;21,000000;21,000000;1,000000;21,571429;19,000000;21,571429;19,000000
5;25,000000;17,000000;0,680000;17,647059;14,000000;17,647059;14,000000
6;21,000000;17,000000;0,809524;33,058824;34,000000;33,058824;34,000000
7;23,000000;22,000000;0,956522;45,363636;47,000000;45,363636;47,000000
8;22,000000;16,000000;0,727273;24,187500;24,000000;24,187500;24,000000
9;25,000000;21,000000;0,840000;35,380952;37,000000;35,380952;37,000000
10;22,000000;7,000000;0,318182;6,142857;5,000000;6,142857;5,000000
11;26,000000;4,000000;0,153846;2,500000;2,000000;2,500000;2,000000
12;22,000000;16,000000;0,727273;17,125000;16,000000;17,125000;16,000000
13;19,000000;14,000000;0,736842;29,500000;32,000000;29,500000;32,000000
14;19,000000;19,000000;1,000000;8,052632;6,000000;8,052632;6,000000
15;19,000000;7,000000;0,368421;21,142857;18,000000;21,142857;18,000000
16;19,000000;18,000000;0,947368;9,055556;8,000000;9,055556;8,000000
17;19,000000;3,000000;0,157895;3,000000;2,000000;3,000000;2,000000
18;18,000000;17,000000;0,944444;8,705882;8,000000;8,705882;8,000000
19;21,000000;17,000000;0,809524;26,882353;24,000000;26,882353;24,000000
20;23,000000;17,000000;0,739130;17,411765;15,000000;17,411765;15,000000
21;22,000000;21,000000;0,954545;40,380952;44,000000;40,380952;44,000000
22;20,000000;16,000000;0,800000;11,000000;7,500000;11,000000;7,500000
23;20,000000;14,000000;0,700000;14,071429;12,500000;14,071429;12,500000
24;19,000000;12,000000;0,631579;25,250000;25,000000;25,250000;25,000000
25;26,000000;13,000000;0,500000;12,000000;9,000000;12,000000;9,000000
26;16,000000;14,000000;0,875000;20,357143;17,500000;20,357143;17,500000
27;21,000000;10,000000;0,476190;7,000000;6,000000;7,000000;6,000000
28;21,000000;20,000000;0,952381;28,900000;27,000000;28,900000;27,000000
29;21,000000;0,000000;0,000000;;;;
30;23,000000;23,000000;1,000000;10,434783;10,000000;10,434783;10,000000
31;26,000000;16,000000;0,615385;15,250000;11,500000;15,250000;11,500000
32;23,000000;17,000000;0,739130;26,529412;27,000000;26,529412;27,000000
33;19,000000;11,000000;0,578947;5,454545;4,000000;5,454545;4,000000
34;21,000000;17,000000;0,809524;11,411765;8,000000;11,411765;8,000000
35;26,000000;21,000000;0,807692;24,285714;26,000000;24,285714;26,000000
36;22,000000;21,000000;0,954545;30,857143;30,000000;30,857143;30,000000
37;26,000000;16,000000;0,615385;26,125000;24,500000;26,125000;24,500000
38;22,000000;0,000000;0,000000;;;;
39;20,000000;19,000000;0,950000;18,526316;16,000000;18,526316;16,000000
40;19,000000;17,000000;0,894737;26,117647;23,000000;26,117647;23,000000
41;27,000000;0,000000;0,000000;;;;
42;20,000000;20,000000;1,000000;19,950000;17,000000;19,950000;17,000000
43;21,000000;20,000000;0,952381;14,700000;14,000000;14,700000;14,000000
44;20,000000;10,000000;0,500000;12,000000;11,000000;12,000000;11,000000
45;20,000000;18,000000;0,900000;19,000000;18,000000;19,000000;18,000000
46;21,000000;20,000000;0,952381;32,600000;35,000000;32,600000;35,000000
47;21,000000;15,000000;0,714286;18,466667;15,000000;18,466667;15,000000
48;20,000000;17,000000;0,850000;14,058824;14,000000;14,058824;14,000000
49;21,000000;12,000000;0,571429;16,083333;16,500000;16,083333;16,500000
50;20,000000;11,000000;0,550000;8,000000;6,000000;8,000000;6,000000
