episode;mean_e;var_e;std_e;rms_e
0;-16410,454739;929416619,692195;30486,334967;34622,530879
1;-18182,436960;1010136424,173917;31782,643442;36616,081685
2;-9179,164949;928981160,262744;30479,192251;31831,403196
3;-589,964623;1062239483,689738;32592,015643;32597,354831
4;-10951,023690;1081324830,443566;32883,503926;34659,050049
5;-14205,322557;847950995,221731;29119,598129;32399,725063
6;-485,556160;756927081,514731;27512,307819;27516,592200
7;-8212,227718;575537547,525339;23990,363639;25357,015432
8;1022,172987;1222903074,017583;34970,031084;34984,966938
9;-15031,980031;870221213,492933;29499,512089;33108,633876
10;-7080,031133;668596559,951790;25857,234190;26809,017155
11;-22351,589995;1232589580,843866;35108,255167;41619,504516
12;-9289,412158;844392320,583755;29058,429424;30507,138490
13;1134,250908;986834531,763767;31413,922578;31434,392898
14;-10533,969850;1002854157,990098;31667,872647;33373,922137
15;-1973,451312;884887715,201685;29747,062295;29812,450843
16;-12735,221392;889916275,916498;29831,464529;32436,123995
17;-19014,754612;1111699409,879126;33342,156647;38383,073129
18;-6604,764246;1060718583,654500;32568,674883;33231,633941
19;-17688,589346;959801004,837393;30980,655333;35674,741736
20;-5172,909451;439773769,835627;20970,783720;21599,369482
21;-7792,694157;1058401450,674287;32533,082404;33453,363551
22;-6392,269376;918905065,484421;30313,446942;30980,093177
23;-24470,692697;1324967796,315382;36400,107092;43860,946153
24;-15759,870741;825283995,293506;28727,756531;32766,713614
25;-3698,459017;970147841,063666;31147,196360;31366,007718
26;-8938,691035;850040594,171782;29155,455650;30494,930588
27;-5830,783500;760979934,658507;27585,864762;28195,353711
28;-12794,127221;680351700,776509;26083,552304;29052,390472
29;-244,950554;1073850279,518820;32769,654858;32770,570338
30;-19297,453866;1125985575,425658;33555,708537;38708,878841
31;-475,590632;533635788,623735;23100,558189;23105,453362
32;-16476,560334;870199490,913172;29499,143901;33788,704197
33;-13466,642375;776760979,107236;27870,431986;30953,375195
34;-17176,234495;977134793,436652;31259,155354;35667,321526
35;-18351,116258;1124652092,833678;33535,832968;38228,465321
36;-2841,328437;693330740,828878;26331,174315;26484,030813
37;-6559,898959;1017598829,541124;31899,824914;32567,331851
38;-7553,061663;829630800,475588;28803,312318;29777,164757
39;-16550,343727;841797191,994782;29013,741434;33402,261442
40;-7950,940799;831538541,972668;28836,410005;29912,472341
41;1333,325012;1323369051,362252;36378,139746;36402,565939
42;-19184,657465;1169039005,204027;34191,212397;39205,740489
43;1882,663809;662876089,808106;25746,380130;25815,121786
44;-19189,775559;1165435468,822922;34138,474905;39162,264424
45;-21715,633570;1083632762,327244;32918,577769;39436,043205
46;-10009,321501;1446787508,973907;38036,660066;39331,590686
47;-23112,293867;1140575550,676827;33772,408127;40923,754453
48;-13469,936154;802016386,748482;28319,893834;31360,095133
49;-2555,864319;756357841,356568;27501,960682;27620,468565
50;-10921,651532;889639474,472402;29826,824747;31763,531709
51;-7382,823345;744965713,143670;27294,060034;28274,932249
52;-19483,579463;1193518511,517956;34547,337257;39662,682464
53;-16978,647805;984386840,814540;31374,939694;35674,379071
54;-12927,197811;1112293171,828765;33351,059531;35768,779894
55;-17034,405783;1005445274,396018;31708,757062;35994,669810
56;-3621,471696;1062738434,695083;32599,669242;32800,205669
57;-13893,531649;934921368,867594;30576,483919;33584,990554
58;-5685,884621;1063090113,518473;32605,062698;33097,120682
59;-21307,526503;1176661480,280707;34302,499621;40381,582014
60;5388,354996;1002912095,715438;31668,787405;32123,923566
61;-16690,650435;986978770,978725;31416,218279;35574,662092
62;-5871,854135;688102021,064098;26231,698783;26880,861073
63;-12082,134210;656783833,499951;25627,794160;28333,051381
64;2730,429295;1302910556,049623;36095,852339;36198,975126
65;-9187,204207;770854739,154685;27764,270910;29244,819375
